Parameter,Unit,Value
Reference channel,,TRS.2.1 TDD
Bandwidth,,"BW of Active BWPNote 1,3"
SCS,kHz,120
First subcarrier index in the PRB used for CSI-RS,,"k0=0 for CSI-RS resource 1,2,3,4"
First OFDM symbol in the slot used for CSI-RS,,l0 = 1 for CSI-RS resource 1 and 3l0 = 5 for CSI-RS resource 2 and 4
Number of CSI-RS ports (X),,"1 for CSI-RS resource 1,2,3,4"
CDM Type,,"‘No CDM’ for CSI-RS resource 1,2,3,4"
Density (ρ),,"3 for CSI-RS resource 1,2,3,4"
CSI-RS periodicity,slots,"80 for CSI-RS resource 1,2,3,4"
CSI-RS offset,slots,40 for CSI-RS resource 1 and 241 for CSI-RS resource 3 and 4
EPRE ratio to SSS,dB,0Note 2
TCI state,,TCI.State.0 Note 4
"NOTE 1:BW of TRS is configured same as the BW size of UE active BWP in the RRM test cases.NOTE 2:Unless otherwise specified in the test case.NOTE 3:If active BWP is larger than 52RBs, BW of TRS is configured as 52RBs. Otherwise, same as active BWP size..NOTE 4:If unified TCI states are configured, the TCI state ID is defined in each test case and from A.3.16A Unified TCI state Configuration.",,
