Parameter,Unit,Value,,,,,,
Reference channel,,SR.3.1 TDD,SR.3.2 TDD,SR.3.3 TDD,,,,
Channel bandwidth,MHz,100,100,100,,,,
Number of transmitter antennas,,1,1,1,,,,
Allocated resource blocks for PDSCH,,24 Note 1,24Note 7,48Note 7,,,,
Allocated slots per Radio Frame,,,,,,,,
Radio frame containing SSB,slots,Note 5,Note 5,Note 5,,,,
Radio frame not containing SSB,slots,48,48,48,,,,
MCS table,,64QAM,64QAM,64QAM,,,,
MCS index,,4,4,4,,,,
Modulation,,QPSK,QPSK,QPSK,,,,
Target Coding Rate,,1/3,1/3,1/3,,,,
Number of control symbols,,2,2,2,,,,
PDSCH mapping type,,Type A,Type A,Type A,,,,
Information Bit Payload,,,,,,,,
For slots with RMSI,bits,1608,1608,3104,,,,
For slots without RMSI,bits,1864,1864,3624,,,,
Number of Code Blocks per slot,,1,1,1,,,,
Binary Channel Bits Per slot,,,,,,,,
For slots with RMSI Note 4,bits,5184,5184,10368,,,,
For slots without RMSI Note 6,bits,6048,6048,12096,,,,
"NOTE 1:Allocated in resource blocks which do not overlap with the resource blocks allocated for SS/PBCH blockNOTE 2:VoidNOTE 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in TS 38.213 [3].NOTE 4:Derived based on the PDSCH DMRS assumption: dmrs-TypeA-Position=2, dmrs-Type=1, dmrs-AdditonalPositions=2, maxLength=1, Antenna port index: 1000, and Number of PDSCH DMRS CDM group(s) without data: 2.NOTE 5:PDSCH is not scheduled in slots containing SSB according to the SSB configuration used in the test. SSB configurations are defined in clause A.3.10.NOTE 6:Derived based on the PDSCH DMRS assumption: dmrs-TypeA-Position=2, dmrs-Type=1, dmrs-AdditonalPositions=2, maxLength=1, Antenna port index: 1000, and Number of PDSCH DMRS CDM group(s) without data: 1.NOTE 7:Allocated in the same resource blocks as the CORESET.NOTE 8: When DRX is configured, PDSCH is scheduled only while drx-onDurationTimer is running, unless otherwise specified in the test case.",,,,,,,,
