Parameter,Unit,Value,,,,
Reference channel,,CCR.3.1 FDD,CCR.3.2 FDD,,,
Channel bandwidth,MHz,Defined in test case,Defined in test case,,,
Subcarrier spacing,kHz,15,15,,,
Allocated resource blocks for CORESET Note 3,,48,48,,,
Number of transmitter antennas,,1,1,,,
Duration of CORESET,symbols,2,2,,,
monitoringSymbolsWithinSlot,,10000000000000,10000000000000,,,
REG bundle size,,6,6,,,
DMRS precoder granularity,,Same as REG bundle size,Same as REG bundle size,,,
CCE to REG mapping,,Interleaved,Interleaved,,,
Interleave n_shift,,0,0,,,
Interleave size,,2,2,,,
Beamforming Pre-Coder,,N/A,N/A,,,
Aggregation level,CCE,8,16,,,
DCI formats,,Note 1,Note 1,,,
Payload size (without CRC),bits,Note 2,Note 2,,,
Note 1:DCI format shall depend upon the test configuration.Note 2:Payload size shall depend upon the test configurationNote 3:Allocated in the resource blocks where the associated RMC is scheduled.,,,,,,
