Functional Area,Test Case
RRC_IDLE state mobility,"A.20.1.5, A.20.1.6"
,"A.20.1.7, A.20.1.8"
,"A.20.1.9, A.20.1.10"
,"A.20.1.11, A.20.1.12"
Handover,"A.20.1.5, A.20.1.6"
,"A.20.1.7, A.20.1.8"
RRC Connection Mobility Control,A.20.2.2.1
,A.20.2.2.2
,A.20.2.2.3
Timing,A.20.3.1
Radio Link Monitoring,"A.20.4.1.1, A.20.4.1.2"
,"A.20.4.1.3, A.20.4.1.4"
,"A.20.4.1.5, A.20.4.1.6"
,"A.20.4.1.7, A.20.4.1.8"
BFD and LR procedures,"A.20.4.2.1, A.20.4.2.2"
,"A.20.4.2.5, A.20.4.2.6"
,"A.20.4.2.7, A.20.4.2.8"
Active BWP switch,A.20.4.3
Intra-frequency measurements,"A.20.5.1.1, A.20.5.1.2"
,"A.20.5.1.5, A.20.5.1.6"
,"A.20.5.1.9, A.20.5.1.10"
Inter-frequency measurements,"A.20.5.2.1, A.20.5.2.2"
,"A.20.5.2.3, A.20.5.2.4"
,"A.20.5.2.5, A.20.5.2.6"
,"A.20.5.2.7, A.20.5.2.8"
,"A.20.5.2.9, A.20.5.2.10"
L1-RSRP measurements,"A.20.5.3.1, A.20.5.3.2"
,"A.20.5.3.3, A.20.5.3.4"
SS-RSRP accuracy,A.20.6.1
SS-RSRQ accuracy,A.20.6.2
SS-SINR accuracy,A.20.6.3
L1-RSRP accuracy,A.20.6.4
