Parameter,Unit,Value,,
Reference channel,,TDDConf.3.1,TDDConf.3.2,
referenceSubcarrierSpacing,kHz,120,120,
TDD UL/DL pattern 1 Note 2,,‘DDDSU’S=’10DL:2GP:2UL’,‘DDDSU’S=’ 6DL: 2GP: 6UL’,
dl-UL-TransmissionPeriodicity,ms,0.625,0.625,
nrofDownlinkSlots,,3,3,
nrofDownlinkSymbols,,10,6,
nrofUplinkSlot,,1,1,
nrofUplinkSymbols,,2,6,
TDD UL/DL pattern 2 Note 2,,Not configured,Not configured,
dl-UL-TransmissionPeriodicity,ms,Not configured,Not configured,
nrofDownlinkSlots,,Not configured,Not configured,
nrofDownlinkSymbols,,Not configured,Not configured,
nrofUplinkSlot,,Not configured,Not configured,
nrofUplinkSymbols,,Not configured,Not configured,
NOTE 1:As specified in TS 38.213 [3] and TS 38.331 [2].NOTE 2:For information,,,,
