Parameter,Unit,Value
Reference channel,,TRS.2.3 TDD
Bandwidth,,"BW of Active BWPNote 1,3"
SCS,kHz,120
First subcarrier index in the PRB used for CSI-RS,,"k0=0 for CSI-RS resource 1,2,3,4"
First OFDM symbol in the slot used for CSI-RS,,l0 = 1 for CSI-RS resource 1 and 3l0 = 5 for CSI-RS resource 2 and 4
Number of CSI-RS ports (X),,"1 for CSI-RS resource 1,2,3,4"
CDM Type,,"‘No CDM’ for CSI-RS resource 1,2,3,4"
Density (ρ),,"3 for CSI-RS resource 1,2,3,4"
aperiodicTriggeringOffsetL2,slots,2
Aperiodic CSI-RS offset,slots,2 for CSI-RS resource 1 and 23 for CSI-RS resource 3 and 4
EPRE ratio to SSS,dB,0Note 2
TCI state,,TCI.State.0
"NOTE 1:BW of TRS is configured same as the BW size of UE active BWP in the RRM test cases.NOTE 2:Unless otherwise specified in the test case.NOTE 3:If active BWP is larger than 52RBs, BW of TRS is configured as 52RBs. Otherwise, same as active BWP size.",,
