Field,Value,Comment
SL-BWP-ConfigCommon-r16,,
sl-BWP-Generic-r16,,
sl-LengthSymbols-r16,sym14,All 14 symbols in a slot without S-SSB are used for sidelink
sl-StartSymbol-r16,sym0,Symbol #0 is the starting symbol used for sidelink in a slot without S-SSB
sl-BWP-PoolConfigCommon-r16,,
sl-RxPool-r16,,Indicates the resource pool for reception on the configured BWP.1 entry
SL-ResourcePool-r16[1],Set according to Table A.3.21.2-2,Entry 1
sl-TxPoolSelectedNormal-r16,,Indicates the resources pool for mode 2 sidelink communication on the configured BWP.1 entry
SL-ResourcePoolConfig-r16[1],,Entry 1
sl-TxPoolExceptional-r16,Not present,
