Field,Value,Comment
msgA-prach-ConfigurationIndex,190,"Preamble Format C2, with 10 ms PRACH periodicity, and other detailed configurations defined in table 6.3.3.2-4 in TS 38.211 [6]."
msgA-SubcarrierSpacing,Same as UL carrier SCS,
msgA-totalNumberOfRA-Preambles,48,Total number of preambles used for contention based and contention free random access
numberOfRA-PreamblesGroupA,48,No group B.
msgA-PRACH-RootSequenceIndex,0,"Logic sequence index = 0, resulting in root sequence = 1."
msgA-SSB-perRACH-OccasionAndCB-PreamblesPerSSB,"oneFourth, n48",OneFourth: 1 SSB associated with 4 RACH occasionsn48: 48 contention-based preambles per SSB
msgA-RO-FDM,One,One PRACH transmission occasions FDMed in one time instance.
ra-ContentionResolutionTimer,sf48,48 sub-frames
msgA-PreamblePowerRampingStep,dB2,
msgA-PreambleReceivedTargetPower,dBm-120,
preambleTransMax,n6,Max number of RA preamble transmission performed before declaring a failure is 6
msgB-ResponseWindow,sl10,10 slots
msgA-ZeroCorrelationZoneConfig,11,"N-CS configuration, NCS = 23"
Backoff Parameter Index,2,"20 ms, as defined in table 7.2-1 in TS 38.321 [7]."
msgA-MCS,1,MCS index for MsgA PUSCH
nrofSlotsMsgA-PUSCH,1,Number of slots containing one or multiple PUSCH occasions
nrofMsgA-PO-PerSlot,1,Number of time domain PUSCH occasions in each slot
msgA-PUSCH-TimeDomainOffset,1,"A single time offset with respect to the start of each PRACH slot, counted as the number of slots"
PUSCH start symbol,0,
PUSCH allocation length,10,
mappingTypeMsgA-PUSCH,typeA,
nrofPRBs-PerMsgA-PO,2,Number of PRBs per PUSCH occasion
nrofMsgA-PO-FDM,One,The number of MsgA PUSCH occasions FDMed in one time instance
msgA-DMRS-AdditionalPosition,pos1,Position for additional DM-RS
msgA-PUSCH-NrofPorts,0,Configure 1 port per CDM group
msgA-DeltaPreamble,2dB,Power offset of msgA PUSCH relative to the preamble received target power
msgA-Alpha,alpha1,Alpha value for MsgA PUSCH. Set 1
deltaMCS,Disabled,Whether to apply delta MCS
NOTE:For further information see clause 6.3.2 in TS 38.331 [2].,,
