,CSI-RS.2.1 FDD,,,,,,
Resource Type,periodic,,,,,,
Resource Set Config,,,,,,,
nzp-CSI-ResourceSetId,0,,,,,,
repetition,n.a.,,,,,,
aperiodicTriggeringOffset,n.a.,,,,,,
trs-Info,n.a.,,,,,,
Resource Config,,,,,,,
nzp-CSI-RS-ResourceId,0 for resource #0,,,,,,
powerControlOffset,0,,,,,,
powerControlOffsetSS,db0,,,,,,
scramblingID,0,,,,,,
Period (slots),slot40.,,,,,,
Offset,8,,,,,,
qcl-InfoPeriodicCSI-RS,TCL.State.0,,,,,,
,,,,,,,
frequencyDomainAllocation,000001,,,,,,
nrofPorts,2,,,,,,
firstOFDMSymbolInTimeDomain,5 for resource #0,,,,,,
cdm-Type,FD-CDM2,,,,,,
density,1,,,,,,
startingRB,0,,,,,,
nrofRBs,276 (Note 1),,,,,,
"NOTE 1:If the configured value of PRBs is larger than the width of the corresponding BWP relevant for the test case, the Test Equipment shall implement CSI-RS only in the width of that BWP.",,,,,,,
