PRS Parameters,Values,,,,,,,
Reference channel,PRS.2.1 FR1,PRS.2.2 FR1,PRS.2.3 FR1,,PRS.2.4 FR1,,PRS.2.5 FR1,PRS.2.6 FR1
Resource index in resource set,0,0,0,1,0,1,0,0
PRS periodicity,160 ms,,,,,,,
PRS Resource set slot offset Note 1,10 ms,,,,,,,
PRS Resource slot offset (slot) Note 1,0,4,0,,4,,0,0
PRS RE offset Note 1,0,,0,1,0,1,0,0
SCS,30 kHz,,,,,,,
PRS comb size,2,4,2,,4,,4,4
Number of PRS symbol,4,4,4,,4,,4,4
Repetion factor,2,1,2,,1,,1,6
PRS resource time gap (slot),1,1,1,,1,,1,1
PRB numbers containing PRS within channel BW Note 1,0-23,0-131,0-23,,0-131,,0-47,0-271
PRS Start PRB,0,,,,,,,
NOTE 1:Unless otherwise specified in the test case.,,,,,,,,
