Parameter,Unit,Value,,,,
Reference channel,,CCR.5.1 TDD,CCR.5.2 TDD,,,
Channel bandwidth,MHz,Defined in test case,Defined in test case,,,
Subcarrier spacing,kHz,30,30,,,
Allocated resource blocks for CORESET Note 3,,48,48,,,
Number of transmitter antennas,,1,1,,,
Duration of CORESET,symbols,2,2,,,
REG bundle size,,6,6,,,
DMRS precoder granularity,,Same as REG bundle size,Same as REG bundle size,,,
CCE to REG mapping,,Interleaved,Interleaved,,,
Interleave n_shift,,0,0,,,
Interleave size,,2,2,,,
Beamforming Pre-Coder,,N/A,N/A,,,
Aggregation level,CCE,8,16,,,
DCI formats,,Note 1,Note 1,,,
Payload size (without CRC),bits,Note 2,Note 2,,,
Note 1:DCI format shall depend upon the test configuration.Note 2:Payload size shall depend upon the test configuration.Note 3:Allocated in the same resource blocks where the associated RMC is scheduled.,,,,,,
