Parameter,Unit,Value,,,,,,
Reference channel,,CR.2.1 TDD,,,,,,
Channel bandwidth,MHz,Defined in test case,,,,,,
Subcarrier spacing,kHz,30,,,,,,
Allocated resource blocks for RMSI CORESET Note 7,,24,,,,,,
,,,,,,,,
SSB and RMSI CORESET multiplexing configuration Note 7,,Pattern 1,,,,,,
"Offset between SSB and RMSI CORESET Note 3, 7",PRB,0 (Note 8),,,,,,
Configuration of PDCCH monitoring occasions for RMSI CORESET Note 4,,Index 4,,,,,,
Number of transmitter antennas,,1,,,,,,
Duration of RMSI CORESET Note 7,symbols,2,,,,,,
DCI Format Note 1,,Note 2,,,,,,
Aggregation level,CCE,8,,,,,,
DMRS precoder granularity,,6,,,,,,
REG bundle size,,6,,,,,,
Mapping from REG to CCE,,Distributed,,,,,,
Cell ID,,Note 5,,,,,,
Payload (without CRC),bits,Note 6,,,,,,
NOTE 1:DCI formats are defined in TS 38.212 [8].NOTE 2:DCI format shall depend upon the test configuration.NOTE 3:The offset is defined with respect to the subcarrier spacing of the CORESET from the smallest PRB index of RMSI CORESET to the smallest PRB index of the common PRB overlapping with the first PRB of the SS/PBCH block.NOTE 4:The configuration of PDCCH monitoring occasions for RMSI CORESET is defined in table 13-11 in TS 38.213 [3].NOTE 5:Cell ID shall depend upon the test configuration.NOTE 6:Payload size shall depend upon the test configuration.NOTE 7: The configuration of set of resource blocks and slot symbols of control resource set for Type0-PDCCH search space corresponds to index 0 in table 13-6 in TS 38.213 [3].NOTE 8:Other values can be used to align with GSCN [13] as long as SSB does not overlap the RMC.,,,,,,,,
