Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,Cell 2 is the candidate cell
Final condition,Active cell,,Cell 1,"After transmitting PRACH on Cell 2, UE shall be back to Cell 1."
a4-Threshold,,dBm,-110,Cell 2
Hysteresis,,dB,0,
Time To Trigger,,ms,0,
Filter coefficient,,,0,L3 filtering is not used
includeBeamMeasurements,,,True,
Gap Pattern Id,,,13,As specified in table 9.1.2-1.
Measurement gap offset,,,39,
DRX,,,OFF,DRX is not used
Time offset between cells,,,0.3 s,
deriveSSB-IndexFromCell,,,Enabled,
EarlyUL-SyncConfig,frequencyInfoUL,,NR RF Channel Number 2,Cell 2
,PRACH configuration,,FR2 PRACH configuration 5,
,bwp-GenericParameters,,ULBWP.0.1,
,n-TimingAdvanceOffset,Tc,N/A,
LTM-CSI-ReportConfig,L1-RSRP reporting period,slot,320,Periodic L1-RSRP reporting configured
,nrOfReportedCells,,n1,Report candidate cell’s (Cell 2) L1-RSRP measurement results.
,nrOfReportedRS-PerCell,,n1,
,spCellInclusion,,N/A,
ltm-ConfigComplete,,,True,Candidate cell’s configuration is complete configuration
T1,,s,0.3,
T2,,s,0.5,
