Parameter,Unit,Config,Test1,,Test2,,Test3,,Test4,,Band Group
,,,TRP #1,TRP #2,TRP #1,TRP #2,TRP #1,TRP #2,TRP #1,TRP #2,
SSB ARFCN,,"1,2",Freq1,,,,,,,,
Duplex Mode,,"1,2",TDD,,,,,,,,
TDD configuration,,"1,2",TDDConf.3.1,,,,,,,,
BWchannel,MHz,"1,2","100: NPRB,c = 66",,,,,,,,
Data PRBs allocated,,"1,2",66,,,,,,,,
Initial BWP Configuration,,"1,2",DLBWP.0.1ULBWP.0.1,,,,,,,,
Dedicated BWP Configuration,,"1,2",DLBWP.1.1ULBWP.1.1,,,,,,,,
TRS Configuration,,"1,2",TRS.2.1 TDDTRS.2.2 TDD,,,,,,,,
DRX Cycle,ms,"1,2",N/A,,,,DRX.8Note5,,,,
PDSCH Reference measurement channel,,"1,2",SR.3. 3 TDD,,,,,,,,
RMSI CORESET Reference Channel,,"1,2",CR.3.2 TDD,,,,,,,,
coresetPoolIndex for dedicated CORESET Reference Channel,,"1,2",0,1,0,1,0,1,0,1,
Dedicated CORESET Reference Channel,,"1,2",CCR.3.4 TDD,CCR.3.6 TDD,CCR.3.4 TDD,CCR.3.6 TDD,CCR.3.4 TDD,CCR.3.6 TDD,CCR.3.4 TDD,CCR.3.6 TDD,
TCI configuration,,"1,2",DLorJoint TCI.State.0 with tag-Id-ptr-r18 = n0,DLorJoint TCI.State.1 with tag-Id-ptr-r18 = n1,DLorJoint TCI.State.0 with tag-Id-ptr-r18 = n0,DLorJoint TCI.State.1 with tag-Id-ptr-r18 = n1,DLorJoint TCI.State.0 with tag-Id-ptr-r18 = n0,DLorJoint TCI.State.1 with tag-Id-ptr-r18 = n1,DLorJoint TCI.State.0 with tag-Id-ptr-r18 = n0,DLorJoint TCI.State.1 with tag-Id-ptr-r18 = n1,
Timing difference compared to TRP#1,us,"1,2",0,0.1,0,7,0,0.1,0,7,
OCNG Patterns,,"1,2",OP.1,,,,,,,,
SSB Configuration,,"1,2",SSB.1 FR2,,,,,,,,
SMTC Configuration,,"1,2",SMTC.1,,,,,,,,
PDSCH/PDCCH subcarrier spacing,kHz,"1,2",120,,,,,,,,
EPRE ratio of PSS to SSS,dB,"1,2",0,,,,0,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,
Propagation condition,,"1,2",AWGN,,,,,,,,
SRS Config,,"1,2",SRSConf.1Note6,,,,SRSConf.2Note6,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5:DRX related parameters are given in table A.3.3.8-1NOTE 6:SRS configs are given in table A.5.4.1.x.1-3,,,,,,,,,,,
