Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
A4-Threshold,,dBm,-120,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,s,62.5,Asynchronous cells
T1,,s,5,
T2,,s,<5,
T3,,s,<0.5,
T4,,ms,10+Tinterrupt2,Tinterrupt2 as defined in table 6.1.3.4.2-2 for asynchronous DAPS HO.
T5,,ms,100,
