Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
A3-Offset for condition,,dBm,-1,Trigger HO to cell which may be measured as -1 dB relative to cell 1. Actual SS-RSRP is 5 dB stronger.
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,2,
