Parameter,,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,,"1, 2",Cell 1,
T2 end condition,Active cell,,,"1, 2",Cell 2,
,Neighbour cell,,,"1, 2",Cell 1,
Final condition,Active cell,,,"1, 2",Cell 1,
,Neighbour cell,,,"1, 2",Cell 2,
RF Channel Number,,,,"1, 2",1,
Time offset between cells,,,,"1, 2",3 s,Synchronous cells
Access Barring Information,,,-,"1, 2",Not Sent,No additional delays in random access procedure.
SMTC configuration,,,,"1, 2",SMTC.1,
DRX cycle length,,,s,"1, 2",1.28,The value shall be used for all cells in the test.
PRACH configuration index,,,,"1, 2",190,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,,"1, 2",Not configured,
T1,,,s,"1, 2",>7,"During T1, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T2"
T2,,PC2/3/4,s,"1, 2",135,T2 needs to be defined so that cell re-selection reaction time is taken into account.
,,PC1,,,265,
T3,,PC2/3/4,s,"1, 2",35,T3 needs to be defined so that cell re-selection reaction time is taken into account.
,,PC1,,,65,
