Parameter,Unit,Test configuration,Cell 1,Cell 2
,,,T1,T1
TDD configuration,,"1, 2",TDDConf.3.1,TDDConf.3.1
PDSCH RMC,,1,SR.3.1 TDD,SR.3.1 TDD
configuration,,2,SR.3.1 TDD,SR.3.1 TDD
RMSI CORESET,,1,CR.3.1 TDD,CR.3.1 TDD
RMC configuration,,2,CR.3.1 TDD,CR.3.1 TDD
Dedicated CORESET,,1,CCR.3.1 TDD,CCR.3.1 TDD
RMC configuration,,2,CCR.3.1 TDD,CCR.3.1 TDD
SSB configuration,,1,SSB.3 FR2,SSB.7 FR2
,,2,SSB.4 FR2,SSB.8 FR2
OCNG Pattern,,"1, 2",OP.4,OP.4
BWchannel,MHz,"1, 2","100: NPRB,c = 66","100: NPRB,c = 66"
Data PRBs allocated,,"1, 2",66,66
Initial DL BWP configuration,,"1, 2",DLBWP.0.1,DLBWP.0.1
Initial UL BWP configuration,,"1, 2",ULBWP.0.1,ULBWP.0.1
Qrxlevmin,dBm/SCS,1,-138,-138
,,2,-135,-135
Pcompensation,dB,"1, 2",0,0
Qhysts,dB,"1, 2",0,0
"Qoffsets, n",dB,"1, 2",0,0
Cell_selection_and_reselection_quality_measurement,,"1, 2",SS-RSRP,SS-RSRP
AoA setup,,"1, 2",Setup 1 defined in A.3.15.1,Setup 1 defined in A.3.15.1
Beam assumptionNote 4,,"1,2",Rough,Rough
Note 5Es/Iot BB,dB,1,-3.55,0.95
,,2,,
Note2,dBm/SCS,1,-93,
,,2,-90,
Note2,dBm/15 kHz,1,-102,
,,2,,
,dB,1,-3,1.5
,,2,,
SS-RSRP Note3,dBm/SCS,1,-96,-91.5
,,2,-93,-88.5
Io on SSB symbols of each cell,dBm/95.04 MHz,1,-67.40,-65.34
,,2,-64.40,-62.34
Treselection,s,"1, 2",0,0
SSearchThresholdP,,"1, 2",35,35
SintrasearchP,dB,"1, 2",50,50
Propagation Condition,,"1, 2",AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,
