Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1, 2",TDDConf.3.1,,TDDConf.3.1,
PDSCH RMC configuration,,"1, 2",SR.3.1 TDD,,SR.3.1 TDD,
RMSI CORESET parameters,,"1, 2",CR.3.1 TDD,,CR.3.1 TDD,
RMSI CORESET RMC configuration,,"1, 2",CCR.3.1 TDD,,CCR.3.1 TDD,
OCNG Pattern,,"1, 2",OP.1 defined in A.3.2.1,,OP.1 defined in A.3.2.1,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,"1, 2",66,,66,
Initial DL BWP configuration,,"1, 2",DLBWP.0.1,,DLBWP.0.1,
Initial UL BWP configuration,,"1, 2",ULBWP.0.1,,ULBWP.0.1,
RLM-RS,,"1, 2",SSB,,SSB,
Qrxlevmin,dBm/SCS,1,-140,,-140,
,,2,-137,,-137,
Pcompensation,dB,"1, 2",0,,0,
Qhysts,dB,"1, 2",0,,0,
"Qoffsets, n",dB,"1, 2",0,,0,
Cell_selection_and_reselection_quality_measurement,,"1, 2",SS-RSRP,,SS-RSRP,
AoA setup,,"1, 2",Setup 1 defined in A.3.15.1,,Setup 1 defined in A.3.15.1,
Beam assumptionNote 4,,"1, 2",Rough,,Rough,
Note 5Es/Iot BB,dB,"1, 2",9.95,7.45,-11.05,7.95
Note2,dBm/SCS,1,-93,,-93,
,,2,-90,,-90,
Note2,dBm/15 kHz,"1, 2",-102,,-102,
,dB,"1, 2",10.5,8,-10.5,8.5
SS-RSRP Note3,dBm/SCS,1,-82.5,-85,-103.5,-84.5
,,2,-79.5,-82,-100.5,-81.5
Io,dBm/95.04 MHz,"1,2",-53.14,-55.37,-63.64,-54.94
SSearchThresholdP,,"1, 2",35,35,29,29
TreselectionNR,s,"1, 2",0,,0,
SnonintrasearchP,dB,"1, 2",50,,Not sent,
"Threshx, highP",dB,"1, 2",48,,48,
"Threshserving, lowP",dB,"1, 2",44,,44,
"Threshx, lowP",dB,"1, 2",50,,50,
Propagation Condition,,"1, 2",AWGN,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
