Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
SMTC configuration,,,SMTC.1,For SSB frequency 1.
,,,SMTC.1 RedCap,For SSB frequency 2.
Measurement gap configuration,,,"MG pattern #13, offset = 39",
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
