Parameter,,,Unit,Cell 2,,,Cell 4,
,,,,T1,T2,,T1,T2
Assumption for UE beamsNote 6,,,,Rough,,,N/A,
AoA setup,,,,Setup 1 as defined in A.3.15,,,NA,
NR RF Channel Number,,,,2,,,1,
Duplex mode,,Config 1,,TDD,,,FDD,
,,"Config 2,3",,TDD,,,TDD,
TDD configuration,,Config 1,,TDDConf.3.1,,,Not Applicable,
,,Config 2,,TDDConf.3.1,,,TDDConf.1.1,
,,Config 3,,TDDConf.3.1,,,TDDConf.2.1,
BWchannel,,Config 1,MHz,"100: NPRB,c = 66",,,"10: NPRB,c = 52",
,,Config 2,,"100: NPRB,c = 66",,,"10: NPRB,c = 52",
,,Config 3,,"100: NPRB,c = 66",,,"40: NPRB,c = 106",
BWP BW,,Config 1,MHz,"100: NPRB,c = 66",,,"10: NPRB,c = 52",
,,Config 2,,"100: NPRB,c = 66",,,"10: NPRB,c = 52",
,,Config 3,,"100: NPRB,c = 66",,,"40: NPRB,c = 106",
Data PRBs allocated,,Config 1,,66,,,52,
,,Config 2,,66,,,52,
,,Config 3,,66,,,106,
DRX Cycle,,,ms,Not Applicable,,,Not Applicable,
PDSCH Reference measurement channel,,Config 1,,SR3.1 TDD,,,SR.1.1 FDD,
,,Config 2,,SR3.1 TDD,,,SR.1.1 TDD,
,,Config 3,,SR3.1 TDD,,,SR2.1 TDD,
RMSI CORESET Reference Channel,,Config 1,,CR3.1 TDD,,,CR.1.1 FDD,
,,Config 2,,CR3.1 TDD,,,CR.1.1 TDD,
,,Config 3,,CR3.1 TDD,,,CR2.1 TDD,
Control Channel RMC,,Config 1,,CCR.3.1 TDD,,,CCR.1.1 FDD,
,,Config 2,,CCR.3.1 TDD,,,CCR.1.1 TDD,
,,Config 3,,CCR.3.1 TDD,,,CCR.2.1 TDD,
OCNG Patterns,,,,OP 1,,,OP 1,
SSB configuration,,"Config 1,2",,SSB. 3 FR2,,,SSB.1 FR1,
,,Config 3,,SSB. 3 FR2,,,SSB.2 FR1,
SMTC configuration,,"Config 1,2",,SMTC.1,,,SMTC.1,
,,Config 3,,SMTC.2,,,SMTC.2,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2",kHz,120 kHz,,,15 kHz,
,,Config 3,,120 kHz,,,30 kHz,
PUCCH/PUSCH subcarrier spacing,,"Config 1,2",kHz,120 kHz,,,15 kHz,
,,Config 3,,120 kHz,,,30 kHz,
PRACH configuration,,,,FR2 PRACH configuration 1,,,FR1 PRACH configuration 1,
TRS configuration,,Config 1,,TRS.2.1 TDD,,,TRS.1.1 FDD DD,
,,Config 2,,TRS.2.1 TDD,,,TRS.1.1 TDD,
,,Config 3,,TRS.2.1 TDD,,,TRS.1.2 TDD,
PDSCH/PDCCH TCI state,,,,TCI.State.2,,,N/A,
BWP configuraiton,,Initial DL BWP,,DLBWP.0.1,,,DLBWP.0.1,
,,Dedicated DL BWP,,DLBWP.1.1,,,DLBWP.1.1,
,,Initial UL BWP,,ULBWP.0.1,,,ULBWP.0.1,
,,Dedicated UL BWP,,ULBWP.1.1,,,ULBWP.1.1,
EPRE ratio of PSS to SSS,,,dB,0,,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Note2,,,dBm/15 kHz,-104.7,,,-98,
Note2,"Config 1,2",,dBm/SCS,-95.7,,,-98,
,Config 3,,,,,,-95,
SSB_RP Note 3,"Config 1,2",,dBm/SCS Note5,-95.0,,-95.0,-Infinity,-93
,Config 3,,,,,,-Infinity,-90
,,,dB,7,,7,-Infinity,5
IoNote3,"Config 1,2",,dBm/9.36 MHz,N/A,,,-70.05,-63.85
,Config 3,,dBm/38.16 MHz,,,,-63.94,-57.75
,"Config 1,2,3",,dBm/95.04 MHz Note5,-66.7,,-66.7,N/A,
Propagation condition,,,-,AWGN,,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 6:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,
