Parameter,Unit,Config,Test1,Test2
SSB ARFCN,,1,Freq1,Freq1
TDD configuration,,1,TBD,
,,2,TBD,
,,3,TBD,
BWchannel,MHz,1,"100: NPRB,c = 66",
,,2,"400: NPRB,c = 66",
,,3,"400: NPRB,c = 33",
Data PRBs allocated,,1,66,
,,2,66,
,,3,33,
Initial BWP Configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,
Dedicated BWP Configuration,,"1,2,3",DLBWP.1.1ULBWP.1.1,
TRS Configuration,,1,TRS.2.1 TDD,
,,2,TBD,
,,3,TBD,
PDSCH/PDCCH TCI state,,"1,2,3",TCI.State.2,
DRX Cycle,ms,"1,2,3",N/A,DRX.8Note5
PDSCH Reference measurement channel,,1,SR.3. 3 TDD,
,,2,TBD,
,,3,TBD,
RMSI CORESET Reference Channel,,1,CR.3. 2 TDD,
,,2,TBD,
,,3,TBD,
Dedicated CORESET Reference Channel,,1,CCR.3. 7 TDD,
,,2,TBD,
,,3,TBD,
OCNG Patterns,,"1,2,3",OP.1,
SSB Configuration,,1,SSB.4 FR2,
,,2,TBD,
,,3,TBD,
SMTC Configuration,,"1,2,3",SMTC.1,
PDSCH/PDCCH subcarrier spacing,kHz,1,120,
,,2,480,
,,3,960,
EPRE ratio of PSS to SSS,dB,1,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Propagation condition,,1,AWGN,
SRS Config,,1,SRSConf.1Note6,SRSConf.2Note6
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5:DRX related parameters are given in table A.3.3.8-1NOTE 6:SRS configs are given in table A.7.4.1.2.1-3,,,,
