Parameter,Unit,Config,T1,T2
TDD configuration,,1,TBD,
,,2,TBD,
,,3,TBD,
BWchannel,MHz,1,"100: NPRB,c = 66",
,,2,"400: NPRB,c = 66",
,,3,"400: NPRB,c = 33",
Data PRBs allocated,,1,66,
,,2,66,
,,3,33,
Initial BWP Configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,
Dedicated BWP Configuration,,"1,2,3",DLBWP.1.1ULBWP.1.1,
TRS Configuration,,1,TRS.2.1 TDD,
,,2,TBD,
,,3,TBD,
PDSCH/PDCCH TCI state,,"1,2,3",TCI.State.2,
DRX Cycle,ms,"1,2,3",N/A,DRX.8Note5
PDSCH Reference measurement channel,,1,SR.3. 3 TDD,
,,2,TBD,
,,3,TBD,
RMSI CORESET Reference Channel,,1,CR.3. 2 TDD,
,,2,TBD,
,,3,TBD,
Dedicated CORESET Reference Channel,,1,CCR.3. 7 TDD,
,,2,TBD,
,,3,TBD,
OCNG Patterns,,"1,2,3",OP.1,
SSB Configuration,,1,SSB.4 FR2,
,,2,TBD,
,,3,TBD,
SMTC Configuration,,"1,2,3",SMTC.1,
