Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
Assumption for UE beamsNote 4,,,Rough,,,Rough,,
AoA setup,,1,Setup 3 as specified in clause A.3.15,,,,,
,,,AoA1,,,AoA2,,
TDD configuration,,1,TDDConf.3.1,,,TDDConf.3.1,,
BWchannel,MHz,1,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
Data PRBs allocated,,1,24,,,24,,
PDSCH RMC configuration,,1,SR.3.1 TDD,,,N/A,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,,CR.3.1 TDD,,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,,CCR.3.1 TDD,,
TRS configuration,,1,TRS.2.1 TDD,,,N/A,,
PDSCH/PDCCH TCI state,,1,TCI.State.2,,,N/A,,
OCNG Pattern,,1,OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,1,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,1,ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,1,SSB,,,SSB,,
Note2,dBm/15 kHz,1,-92.1,,,-92.1,,
Note2,dBm/SCS,1,-83.1,,,-83.1,,
,dB,1,0,-infinity,-infinity,-infinity,-infinity,0
BB Note 5,dB,1,-1.01,-infinity,-infinity,-infinity,-infinity,-1.01
SSB_RP Note3,dBm/SCS,1,-83.1,-infinity,-infinity,-infinity,-infinity,-83.1
Io,dBm/95.04 MHz,1,-55.46,-58.51,-58.51,-58.51,-58.51,-55.46
Propagation Condition,,1,AWGN,,,AWGN,,
"NOTE 1:OCNG shall be used such that a constant total transmitted power is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,,
