Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,"Cell 1, 2",
,Target cell,,"Cell 3, 4",
Final condition,Active cell,,"Cell 3, 4",
A3-Offset  in condition for PCell,,dBm,-4,
A4-Offset in condition for PSCell,,dBm,-120,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,1,
T2,,s,2,It is the time gap between target PCell and target PScell become detectable
T3,,s,2,
