Parameter,,Unit,Config,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
Assumption for UE beamsNote 6,,,"1,2,3",-,,Rough,
AoA setup,,,"1,2,3",-,,Setup 1 as defined in A.3.15,
NR RF Channel Number,,,"1,2,3",1,,2,
Duplex mode,,,1,FDD,,TDD,
,,,"2,3",TDD,,TDD,
TDD configuration,,,1,-,,TBD,
,,,2,TDDConf.1.1,,TBD,
,,,3,TDDConf.2.1,,TBD,
BWchannel,,MHz,1,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,2,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,3,"40: NPRB,c = 106",,"400: NPRB,c = 33",
Data PRBs allocated,,,1,52,,66,
,,,2,52,,66,
,,,3,106,,33,
DRX Cycle,,ms,"1,2,3",Not Applicable,,Not Applicable,
PDSCH Reference measurement channel,,,1,SR.1.1 FDD,,SR3.1 TDD,
,,,2,SR.1.1 TDD,,TBD,
,,,3,SR2.1 TDD,,TBD,
RMSI CORESET Reference Channel,,,1,CR.1.1 FDD,,CR3.1 TDD,
,,,2,CR.1.1 TDD,,TBD,
,,,3,CR2.1 TDD,,TBD,
Control Channel RMC,,,1,CCR.1.1 FDD,,CCR.3.1 TDD,
,,,2,CCR.1.1 TDD,,TBD,
,,,3,CCR.2.1 TDD,,TBD,
OCNG Patterns,,,"1,2,3",OP.1,,OP.1,
SMTC Configuration,,,1,SMTC.1,,SMTC pattern 1,
,,,"2,3",SMTC.2,,SMTC pattern 1,
SSB Configuration,,,1,SSB.1 FR1,,SSB. 3 FR2,
,,,2,SSB.2 FR1,,TBD,
,,,3,SSB.2 FR1,,TBD,
PDSCH/PDCCH subcarrier spacing,,kHz,1,15,,120,
,,,2,30,,480,
,,,3,30,,960,
PUCCH/PUSCH subcarrier spacing,,kHz,1,15,,120,
,,,2,30,,480,
,,,3,30,,960,
PRACH configuration,,,"1,2,3",FR1 PRACH configuration 1,,FR2 PRACH configuration 1,
TRS configuration,,,1,TRS.1.1 FDD,,TRS.2.1 TDD,
,,,2,TRS.1.1 TDD,,TBD,
,,,3,TRS.1.2 TDD,,TBD,
PDSCH/PDCCH TCI state,,,"1,2,3",-,,TCI.State.2,
BWP configuraiton,Initial DL BWP,,"1,2,3",DLBWP.0.1,,DLBWP.0.1,
,Dedicated DL BWP,,"1,2,3",LBWP.1.1,,DLBWP.1.1,
,Initial UL BWP,,"1,2,3",ULBWP.0.1,,ULBWP.0.1,
,Dedicated UL BWP,,"1,2,3",ULBWP.1.1,,ULBWP.1.1,
EPRE ratio of PSS to SSS,,dB,,0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,dBm/15 kHz,,"Link only, see clause A.3.7A",,-104.7,
Note2,,dBm/SCS,1,,,-95.7,
,,,2,,,-89.7,
,,,3,,,-86.7,
,,dB,,,,-Infinity,7
,,dB,,,,-Infinity,7
IoNote3,,dBm/95.04 MHz Note4,,,,-58.9,-58.9
,,dBm/380.16 MHz Note4,,,,-52.9,-52.9
Propagation condition,,-,,,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zone NOTE 6:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,
