Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
TDD configuration,,"1, 2",TDDConf.3.1,,,TDDConf.3.1,,
PDSCH RMC configuration,,1,SR.3.1 TDD,,,SR.3.1 TDD,,
,,2,SR.3.1 TDD,,,SR.3.1 TDD,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,,CR.3.1 TDD,,
,,2,CR.3.1 TDD,,,CR.3.1 TDD,,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,,CCR.3.1 TDD,,
,,2,CCR.3.1 TDD,,,CCR.3.1 TDD,,
SSB configuration,,1,SSB.3 FR2,,,SSB.7 FR2,,
,,2,SSB.4 FR2,,,SSB.8 FR2,,
OCNG Pattern,,"1, 2",OP.4,,,OP.4,,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,,"100: NPRB,c = 66",,
Data PRBs allocated,,"1, 2",66,,,66,,
Initial DL BWP configuration,,"1, 2",DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2",ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,"1, 2",SSB,,,SSB,,
Qrxlevmin,dBm/SCS,1,-138,,,-138,,
,,2,-135,,,-135,,
Pcompensation,dB,"1, 2",0,,,0,,
Qhysts,dB,"1, 2",0,,,0,,
"Qoffsets, n",dB,"1, 2",0,,,0,,
Cell_selection_and_reselection_quality_measurement,,"1, 2",SS-RSRP,,,SS-RSRP,,
AoA setup,,"1, 2",Setup 1 defined in A.3.15.1,,,Setup 1 defined in A.3.15.1,,
,dB,1,8,-6.82,-0.26,-infinity,-0.26,-6.82
,,2,,,,,,
Beam assumptionNote 4,,"1,2",Rough,,,,,
Note2,dBm/SCS,1,-93,,,,,
,,2,-90,,,,,
Note2,dBm/15 kHz,1,-102,,,,,
,,2,,,,,,
,dB,1,8,-3,1.5,-infinity,1.5,-3
,,2,,,,,,
SS-RSRP Note3,dBm/SCS,1,-85,-96,-91.5,-infinity,-91.5,-96
,,2,-82,-93,-88.5,-infinity,-88.5,-93
Io on SSB symbols,dBm/95.04 MHz,1,-55.37,-59.37,-59.37,-55.37,-59.37,-59.37
of each cell,,2,-55.37,59.37,-59.37,-55.37,59.37,59.37
Treselection,s,"1, 2",0,0,0,0,0,0
SintrasearchP,dB,"1, 2",50,,,50,,
Propagation Condition,,"1,2",AWGN,,,AWGN 19444 Hz;,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,
