Parameter,Unit,Value,Value
Reference channel,,R.NB.6 FDD,R.NB.6-1 FDD
Carrier Type,,Anchor,Non-anchor
Channel bandwidth,KHz,200,200
Allocated subframes per Radio Frame,,Note 1,Note 1
Modulation,,QPSK,QPSK
ITBS/ISF,,9/3,6/3
Target Coding Rate,,1/2,1/3
Coding Rate,,0.5,0.33
Information Bit Payload,,,
"For Sub-Frames 1,2,3,6,7,8",Bits,616,392
"For Sub-Frame 0,5",Bits,N/A,392
"For Sub-Frame 4,9",Bits,Note 2,392
Number of Code Blocks,,,
"For Sub-Frames 1,2,3,6,7,8",,1,1
"For Sub-Frame 0,5",Bits,N/A,1
"For Sub-Frame 4,9",Bits,Note 3,1
Binary Channel Bits,,,
"For Sub-Frames 1,2,3,6,7,8",Bits,320,320
"For Sub-Frame 0,5",Bits,N/A,320
"For Sub-Frame 4,9",Bits,Note 4,320
Max. Average Throughput,Bps,Note 5,Note 5
UE Category,,"NB1,NB2","NB1,NB2"
"Note 1:It shall depend on the specific NPDSCH scheduling.Note 2:N/A when mod 2 = 0, otherwise 616.Note 3:N/A when mod 2 = 0, otherwise 1.Note 4:N/A when mod 2 = 0, otherwise 320.Note 5:Maximum Average Throughput equals to sum of TB(i) divided by sum of T(i), where TB(i) is the TB size of NPDSCH over ith NPDSCH scheduling period, and T(i) is the total time consisting of NPDCCH transmission duration, NPDCCH to NPDSCH scheduling delay,  NPDSCH transmission duration, NPDSCH to NPUSCH format 2 scheduling delay, NPUSCH format 2 transmission duration, possible delay between NPUSCH format 2 and NPDCCH for next NPDSCH scheduling and subframes used for NPSS/NSSS/NPBCH/NB-SIB1/NB-SIB2 transmission during the ith NPDSCH scheduling period.",,,
