Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
Two antenna ports,,,,,,,,,
TDD,Table A.3.4.2.1-1,R.10 TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.4.2.1-1,R.11 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.1-1,R.11-1 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.1-1,R.11-2 TDD,5,16QAM,1/2,25,,≥ 1,
TDD,Table A.3.4.2.1-1,R.11-3 TDD,10,16QAM,1/2,40,,≥ 1,
TDD,Table A.3.4.2.1-1,R.11-4 TDD,10,QPSK,1/2,50,,≥ 1,
TDD,Table A.3.4.2.1-11,R.11-13 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.1-1,R.30 TDD,20,16QAM,1/2,100,,≥ 2,
TDD,Table A.3.4.2.1-1,R.30-1 TDD,20,16QAM,1/2,100,,≥ 2,
TDD,Table A.3.4.2.1-1,R.30-2 TDD,20,16QAM,1/2,100,,3,
TDD,Table A.3.4.2.1-1,R.35 TDD,10,64QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.1-1,R.35-1 TDD,20,64QAM,0.39,100,,4,
TDD,Table A.3.4.2.1-2,R.35-2 TDD,10,64QAM,0.47,50,,≥ 2,
TDD,Table A.3.4.2.1-2,R.46 TDD,10,QPSK,,50,,≥ 1,
TDD,Table A.3.4.2.1-2,R.47 TDD,10,16QAM,,50,,≥ 1,
TDD,Table A.3.4.2.1-9,R.47-1 TDD,5,16QAM,,25,,≥ 1,
TDD,Table A.3.4.2.1-9,R.47-2 TDD,15,16QAM,,75,,≥ 1,
TDD,Table A.3.4.2.1-9,R.47-3 TDD,20,16QAM,,100,,≥ 1,
TDD,Table A.3.4.2.1-2,R.11-5 TDD,1.4,16QAM,1/2,6,,≥ 1,
TDD,Table A.3.4.2.1-2,R.11-6 TDD,3,16QAM,1/2,15,,≥ 1,
TDD,Table A.3.4.2.1-2,R.11-7 TDD,5,16QAM,1/2,25,,≥ 1,
TDD,Table A.3.4.2.1-2,R.11-8 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.1-2,R.11-9 TDD,15,16QAM,1/2,75,,≥ 2,
TDD,Table A.3.4.2.1-2,R.11-10 TDD,10,QPSK,3/5,50,,≥ 2,
TDD,Table A.3.4.2.1-2,R.11-11 TDD,10,QPSK,0.48-0.58,50,,≥ 1,
TDD,Table A.3.4.2.1-2,R.11-12 TDD,10,QPSK,0.54-0.66,50,,≥ 1,
TDD,Table A.3.4.2.1-2,R.10-3 TDD,10,16QAM,0.57-0.58,50,,≥ 1,
TDD,Table A.3.4.2.1-3,R.62 TDD,10,16QAM,1/2,3,,0,
TDD,Table A.3.4.2.1-3,R.63 TDD,10,64QAM,1/2,1,,0,
TDD,Table A.3.4.2.1-4,R.65 TDD,20,256QAM,0.6,100,,11-15,
TDD,Table A.3.4.2.1-5,R.67 TDD,10,16QAM,0.4,50,,≥ 1,
TDD,Table A.3.4.2.1-6,R.79 TDD,10,16QAM,1/2,3,,"M1, M2, ≥ 0",
TDD,Table A.3.4.2.1-7,R.81 TDD,10,QPSK,1/10,6,,"M1, ≥ 0",
TDD,Table A.3.4.2.1-4,R.84 TDD,10,16QAM,1/2,39,,≥ 1,
TDD,Table A.3.4.2.1-8,R.aa TDD,10,QPSK,0.54-0.64,50,,≥ 1,
TDD,Table A.3.4.2.1-8,R.bb TDD,10,16QAM,0.27-0.32,50,,≥ 2,
TDD,Table A.3.4.2.1-8,R.87 TDD,10,64QAM,0.39,50,,≥1,
TDD,Table A.3.4.2.1-8,R.87-1 TDD,10,16QAM,0.44,50,,≥1,
TDD,Table A.3.4.2.1-8,R.87-2 TDD,5,64QAM,0.39,25,,≥1,
TDD,Table A.3.4.2.1-8,R.87-3 TDD,15,64QAM,0.39,75,,≥1,
TDD,Table A.3.4.2.1-8,R.87-4 TDD,20,64QAM,0.39,100,,≥1,
TDD,Table A.3.4.2.1-10,R.90 TDD,10,QPSK,1/3,18,,M2,
TDD,Table A.3.4.2.1-10,R.91 TDD,10,QPSK,1/10,18,,M2,
TDD,Table A.3.4.2.1-10,R.92-1 TDD,10,QPSK,1/2,36,,≥1,
TDD,Table A.3.4.2.1-10,R.92-2 TDD,10,QPSK,1/2,36,,≥1,
TDD,Table A.3.4.2.1-6,R.103 TDD,10,QPSK,1/3,3,,"M1, M2",
TDD,Table A.3.4.2.1-6,R.104 TDD,10,64QAM,0.4,3,,"M1, M2",
Four antenna ports,,,,,,,,,
TDD,Table A.3.4.2.2-1,R.12 TDD,1.4,QPSK,1/3,6,,≥ 1,
TDD,Table A.3.4.2.2-1,R.13 TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.4.2.2-1,R.14 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.2-1,R.14-1 TDD,10,16QAM,1/2,6,,≥ 1,
TDD,Table A.3.4.2.2-1,R.14-2 TDD,10,16QAM,1/2,3,,≥ 1,
TDD,Table A.3.4.2.2-1,R.43 TDD,20,16QAM,1/2,100,,≥2,
TDD,Table A.3.4.2.2-1,R.36 TDD,10,64QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.2-1,R.43-1 TDD,1.4,16QAM,1/2,6,,≥ 1,
TDD,Table A.3.4.2.2-1,R.43-2 TDD,3,16QAM,1/2,15,,≥ 1,
TDD,Table A.3.4.2.2-1,R.43-3 TDD,5,16QAM,1/2,25,,≥ 1,
TDD,Table A.3.4.2.2-1,R.43-4 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.2.2-1,R.43-5 TDD,15,16QAM,1/2,75,,≥ 2,
