Resource allocation configurations Indexes,User Index,Resource allocation for random interference model,,,,Probability
,,Resource allocation type,Bitmap for resource allocation (Note 1),,,
,,,1st field bitmap,2nd field bitmap,3rd field bitmap,
Configuration 1,User 0,1,00,0,10101000101010,50%
,User 1,1,00,0,01010101010101,
,User 2,0,01001001001001001,,,
,User 3,0,00100100100100100,,,
Configuration 2,User 0,1,00,0,10101010101010,50%
,User 1,1,00,1,01010100010101,
,User 2,0,01001001001001001,,,
,User 3,0,00100100100100100,,,
"Note 1:The 1st, 2nd, and 3rd field bitmaps are only valid for resource allocation type 1 which was defined in [6].Note 2:The resource allocation model is used for both 1st and 2nd interfering cells and the resource allocation is independent for each interfering cell.",,,,,,
