Parameter,Unit,Value,,,,,
Reference channel,,R.105 TDD,R.105-1 TDD,R.105-2 TDD,R.105-3 TDD,R.105-4 TDD,R.105-5 TDD
Channel bandwidth,MHz,20,15,10,20,15,10
Allocated resource blocks,PRB,Note 6,Note 7,Note 8,Note 6,Note 7,Note 8
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1
Number of HARQ Processes per component carrier,Processes,7,7,7,7,7,7
Allocated subframes per Radio Frame (D+S),,4+2,4+2,4+2,4+2,4+2,4+2
Modulation,,1024QAM,1024QAM,1024QAM,1024QAM,1024QAM,1024QAM
Target Coding Rate,,,,,,,
For Sub-Frame 0,,0.78,0.78,0.80,0.83,0.82,0.85
For Sub-Frame 1,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 3,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 4,,0.76,0.75,0.76,0.81,0.79,0.81
For Sub-Frame 5,,0.77,0.78,0.76,0.82,0.82,0.81
For Sub-Frame 6,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 7,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 8,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 9,,0.76,0.75,0.76,0.81,0.79,0.81
Information Bit Payload,,,,,,,
For Sub-Frame 0,Bits,110136,81176,55056,220296,161760,110136
For Sub-Frame 1,Bits,0,0,0,0,0,0
For Sub-Frames 3,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 4,Bits,110136,81176,55056,220296,161760,110136
For Sub-Frame 5,Bits,105528,78704,51024,211936,157432,101840
For Sub-Frame 6,Bits,0,0,0,0,0,0
For Sub-Frame 7,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 8,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 9,Bits,110136,81176,55056,220296,161760,110136
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
For Sub-Frame 0,,18,14,9,36,27,18
For Sub-Frame 1,,N/A,N/A,N/A,0,0,0
For Sub-Frames 3,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 4,,18,14,9,36,27,18
For Sub-Frame 5,,18,13,9,35,26,17
For Sub-Frame 6,,N/A,N/A,N/A,0,0,0
For Sub-Frame 7,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 8,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 9,,18,14,9,36,27,18
Binary Channel Bits Per Sub-Frame,,,,,,,
For Sub-Frame 0,Bits,140640,104640,68640,265760,197760,129760
For Sub-Frame 1,Bits,0,0,0,0,0,0
For Sub-Frames 3,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 4,Bits,144000,108000,72000,272000,204000,136000
For Sub-Frame 5,,137520,101520,66960,259680,191680,126400
For Sub-Frame 6,Bits,0,0,0,0,0,0
For Sub-Frame 7,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 8,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frames 9,Bits,144000,108000,72000,272000,204000,136000
Number of layers,,2,2,2,4,4,4
Max. Throughput averaged over 1 frame (Note 5),Mbps,43.5936,32.2232,20.928,87.2824,64.2712,43.2248
UE DL Categories,,"20, ≥22","20, ≥22","20, ≥22","20, ≥22","20, ≥22","20, ≥22"
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:Given per component carrier per codeword.Note 6:Resource blocks nPRB = 4..99 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..99 in other downlink sub-frames.Note 7:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in other downlink sub-frames.Note 8:Resource blocks nPRB = 3..49 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..49 in the available downlink sub-frames according to uplink downlink configurations used.",,,,,,,
