Parameter,Unit,Value,,,,,
Reference channel,,R.52 TDD,R.52-1 TDD,R.53 TDD,R.54 TDD,R.76A TDD,R.97 TDD
Channel bandwidth,MHz,10,10,10,10,10,10
Allocated resource blocks,,50 (Note 5),50 (Note 5),50 (Note 5),50 (Note 5),50 (Note 5),50 (Note 5)
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,64QAM,16QAM,64QAM,16QAM,QPSK,16QAM
Target Coding Rate,,1/2,0.57,1/2,1/2,1/3,1/2
Information Bit Payload,,,,,,,
"For Sub-Frame 4,9",Bits,16416,12960,16416,11448,3624,11448
"For Sub-Frames 1,6",Bits,11832,9144,11832,7736,2664,6712
For Sub-Frame 5,Bits,n/a,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Bits,14688,10680,14688,9528,2984,9528
Number of Code Blocks (Note 4),,,,,,,
"For Sub-Frames 4,9",Code blocks,3,3,3,2,1,2
"For Sub-Frames 1,6",Code blocks,2,2,2,2,1,2
For Sub-Frame 5,,n/a,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Code blocks,3,2,3,2,1,2
Binary Channel Bits,,,,,,,
"For Sub-Frames 4,9",,34200,22800,33600,22800,11200,22400
"For Sub-Frames 1,6",,23616,15744,23616,15744,7544,15744
For Sub-Frame 5,Bits,n/a,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Bits,29520,19680,29520,19680,9512,19680
Max. Throughput averaged over 1 frame,Mbps,7.1184,5.4888,7.1184,4.7896,1.5560,4.5848
UE Category,,≥ 2,≥2,≥ 2,≥ 2,1,≥ 2
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5: 50 resource blocks are allocated in sub-frames 4, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1, 6.",,,,,,,
