Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version
11-2007,R4#45,R4-72206,,,,TS36.101V0.1.0 approved by RAN4,
12-2007,RP#38,RP-070979,,,,Approved version at TSG RAN #38,8.0.0
03-2008,RP#39,RP-080123,3,,,TS36.101 - Combined updates of E-UTRA UE requirements,8.1.0
05-2008,RP#40,RP-080325,4,,,TS36.101 - Combined updates of E-UTRA UE requirements,8.2.0
09-2008,RP#41,RP-080638,5r1,,,Addition of Ref Sens figures for 1.4MHz and 3MHz Channel bandwiidths,8.3.0
09-2008,RP#41,RP-080638,7r1,,,Transmitter intermodulation requirements,8.3.0
09-2008,RP#41,RP-080638,10,,,CR for clarification of additional spurious emission requirement,8.3.0
09-2008,RP#41,RP-080638,15,,,Correction of In-band Blocking Requirement,8.3.0
09-2008,RP#41,RP-080638,18r1,,,TS36.101: CR for section 6: NS_06,8.3.0
09-2008,RP#41,RP-080638,19r1,,,TS36.101: CR for section 6: Tx modulation,8.3.0
09-2008,RP#41,RP-080638,20r1,,,TS36.101: CR for UE minimum power,8.3.0
09-2008,RP#41,RP-080638,21r1,,,TS36.101: CR for UE OFF power,8.3.0
09-2008,RP#41,RP-080638,24r1,,,TS36.101: CR for section 7: Band 13 Rx sensitivity,8.3.0
09-2008,RP#41,RP-080638,26,,,UE EVM Windowing,8.3.0
09-2008,RP#41,RP-080638,29,,,Absolute ACLR limit,8.3.0
09-2008,RP#41,RP-080731,23r2,,,TS36.101: CR for section 6: UE to UE co-existence,8.3.0
09-2008,RP#41,RP-080731,30,,,Removal of [ ] for UE Ref Sens figures,8.3.0
09-2008,RP#41,RP-080731,31,,,"Correction of PA, PB definition to align with RAN1 specification",8.3.0
09-2008,RP#41,RP-080731,37r2,,,UE Spurious emission band UE co-existence,8.3.0
09-2008,RP#41,RP-080731,44,,,Definition of specified bandwidths,8.3.0
09-2008,RP#41,RP-080731,48r3,,,Addition of Band 17,8.3.0
09-2008,RP#41,RP-080731,50,,,Alignment of the UE ACS requirement,8.3.0
09-2008,RP#41,RP-080731,52r1,,,Frequency range for Band 12,8.3.0
09-2008,RP#41,RP-080731,54r1,,,Absolute power tolerance for LTE UE power control,8.3.0
09-2008,RP#41,RP-080731,55,,,TS36.101 section 6: Tx modulation,8.3.0
09-2008,RP#41,RP-080732,6r2,,,DL FRC definition for UE Receiver tests,8.3.0
09-2008,RP#41,RP-080732,46,,,Additional UE demodulation test cases,8.3.0
09-2008,RP#41,RP-080732,47,,,Updated descriptions of FRC,8.3.0
09-2008,RP#41,RP-080732,49,,,Definition of UE transmission gap,8.3.0
09-2008,RP#41,RP-080732,51,,,Clarification on High Speed train model in 36.101,8.3.0
09-2008,RP#41,RP-080732,53,,,Update of symbol and definitions,8.3.0
09-2008,RP#41,RP-080743,56,,,Addition of MIMO (4x2) and (4x4) Correlation Matrices,8.3.0
12-2008,RP#42,RP-080908,94r2,,,CR TX RX channel frequency separation,8.4.0
12-2008,RP#42,RP-080909,105r1,,,UE Maximum output power for Band 13,8.4.0
12-2008,RP#42,RP-080909,60,,,UL EVM equalizer definition,8.4.0
12-2008,RP#42,RP-080909,63,,,Correction of UE spurious emissions,8.4.0
12-2008,RP#42,RP-080909,66,,,Clarification for UE additional spurious emissions,8.4.0
12-2008,RP#42,RP-080909,72,,,Introducing ACLR requirement for coexistance with UTRA 1.6MHZ channel from 36.803,8.4.0
12-2008,RP#42,RP-080909,75,,,Removal of [] from Section 6 transmitter characteristcs,8.4.0
12-2008,RP#42,RP-080909,81,,,Clarification for PHS band protection,8.4.0
12-2008,RP#42,RP-080909,101,,,Alignement for the measurement interval for transmit signal quality,8.4.0
12-2008,RP#42,RP-080909,98r1,,,Maximum power,8.4.0
12-2008,RP#42,RP-080909,57r1,,,CR UE spectrum flatness,8.4.0
12-2008,RP#42,RP-080909,71r1,,,UE in-band emission,8.4.0
12-2008,RP#42,RP-080909,58r1,,,CR Number of TX exceptions,8.4.0
12-2008,RP#42,RP-080951,99r2,,,CR UE output power dynamic,8.4.0
12-2008,RP#42,RP-080951,79r1,,,LTE UE transmitter intermodulation,8.4.0
12-2008,RP#42,RP-080910,91,,,Update of Clause 8,8.4.0
12-2008,RP#42,RP-080950,106r1,,,Structure of Clause 9 including CSI requirements for PUCCH mode 1-0,8.4.0
12-2008,RP#42,RP-080911,59,,,CR UE ACS test frequency offset,8.4.0
12-2008,RP#42,RP-080911,65,,,Correction of spurious response parameters,8.4.0
12-2008,RP#42,RP-080911,80,,,Removal of LTE UE narrowband intermodulation,8.4.0
12-2008,RP#42,RP-080911,90r1,,,Introduction of Maximum Sensitivity Degradation,8.4.0
12-2008,RP#42,RP-080911,103,,,Removal of [] from Section 7 Receiver characteristic,8.4.0
12-2008,RP#42,RP-080912,62,,,Alignement of TB size n Ref Meas channel for RX characteristics,8.4.0
12-2008,RP#42,RP-080912,78,,,TDD Reference Measurement channel for RX characterisctics,8.4.0
12-2008,RP#42,RP-080912,73r1,,,Addition of 64QAM DL referenbce measurement channel,8.4.0
12-2008,RP#42,RP-080912,74r1,,,Addition of UL Reference Measurement Channels,8.4.0
12-2008,RP#42,RP-080912,104,,,Reference measurement channels for PDSCH performance requirements (TDD),8.4.0
12-2008,RP#42,RP-080913,68,,,MIMO Correlation Matrix Corrections,8.4.0
12-2008,RP#42,RP-080915,67,,,Correction to the figure with the Transmission Bandwidth configuration,8.4.0
12-2008,RP#42,RP-080916,77,,,Modification to EARFCN,8.4.0
12-2008,RP#42,RP-080917,85r1,,,New Clause 5 outline,8.4.0
12-2008,RP#42,RP-080919,102,,,Introduction of Bands 12 and 17 in 36.101,8.4.0
12-2008,RP#42,RP-080927,84r1,,,Clarification of HST propagation conditions,8.4.0
03-2009,RP#43,RP-090170,156r2,,,A-MPR table for NS_07,8.5.0
03-2009,RP#43,RP-090170,170,,,Corrections of references (References to tables and figures),8.5.0
03-2009,RP#43,RP-090170,108,,,Removal of [ ] from Transmitter Intermodulation,8.5.0
03-2009,RP#43,RP-090170,155,,,E-UTRA ACLR for below 5 MHz bandwidths,8.5.0
03-2009,RP#43,RP-090170,116,,,Clarification of PHS band including the future plan,8.5.0
03-2009,RP#43,RP-090170,119,,,Spectrum emission mask for 1.4 MHz and 3 MHz bandwidhts,8.5.0
03-2009,RP#43,RP-090170,120,,,Removal of “Out-of-synchronization handling of output power” heading,8.5.0
03-2009,RP#43,RP-090170,126,,,UE uplink power control,8.5.0
03-2009,RP#43,RP-090170,128,,,Transmission BW Configuration,8.5.0
03-2009,RP#43,RP-090170,130,,,Spectrum flatness,8.5.0
03-2009,RP#43,RP-090170,132r2,,,PUCCH EVM,8.5.0
03-2009,RP#43,RP-090170,134,,,UL DM-RS EVM,8.5.0
03-2009,RP#43,RP-090170,140,,,Removal of ACLR2bis requirements,8.5.0
03-2009,RP#43,RP-090171,113,,,In-band blocking,8.5.0
03-2009,RP#43,RP-090171,127,,,In-band blocking and sensitivity requirement for band 17,8.5.0
03-2009,RP#43,RP-090171,137r1,,,Wide band intermodulation,8.5.0
03-2009,RP#43,RP-090171,141,,,Correction of reference sensitivity power level of Band 9,8.5.0
03-2009,RP#43,RP-090172,109,,,AWGN level for UE DL demodulation performance tests,8.5.0
03-2009,RP#43,RP-090172,124,,,Update of Clause 8: additional test cases,8.5.0
03-2009,RP#43,RP-090172,139r1,,,Performance requirement structure for TDD PDSCH,8.5.0
03-2009,RP#43,RP-090172,142r1,,,Performance requirements and reference measurement channels for TDD PDSCH demodulation with UE-specific reference symbols,8.5.0
03-2009,RP#43,RP-090172,145,,,Number of information bits in DwPTS,8.5.0
03-2009,RP#43,RP-090172,160r1,,,MBSFN-Unicast demodulation test case,8.5.0
03-2009,RP#43,RP-090172,163r1,,,MBSFN-Unicast demodulation test case for TDD,8.5.0
03-2009,RP#43,RP-090173,162,,,Clarification of EARFCN for 36.101,8.5.0
03-2009,RP#43,RP-090369,110,,,Correction to UL Reference Measurement Channel,8.5.0
03-2009,RP#43,RP-090369,114,,,"Addition of MIMO (4x4, medium) Correlation Matrix",8.5.0
03-2009,RP#43,RP-090369,121,,,Correction of 36.101 DL RMC table notes,8.5.0
03-2009,RP#43,RP-090369,125,,,Update of Clause 9,8.5.0
03-2009,RP#43,RP-090369,138r1,,,Clarification on OCNG,8.5.0
03-2009,RP#43,RP-090369,161,,,CQI reference measurement channels,8.5.0
03-2009,RP#43,RP-090369,164,,,PUCCH 1-1 Static Test Case,8.5.0
03-2009,RP#43,RP-090369,111,,,Reference Measurement Channel for TDD,8.5.0
03-2009,RP#44,,,,,Editorial correction in Table 6.2.4-1,8.5.1
05-2009,RP#44,RP-090540,167,,,Boundary between E-UTRA fOOB and spurious emission domain for 1.4 MHz and 3 MHz bandwiths. (Technically Endorsed CR in R4-50bis - R4-091205),8.6.0
05-2009,RP#44,RP-090540,168,,,EARFCN correction for TDD DL bands. (Technically Endorsed CR in R4-50bis - R4-091206),8.6.0
05-2009,RP#44,RP-090540,169,,,Editorial correction to in-band blocking table. (Technically Endorsed CR in R4-50bis - R4-091238),8.6.0
05-2009,RP#44,RP-090540,171,,,CR PRACH EVM. (Technically Endorsed CR in R4-50bis - R4-091308),8.6.0
05-2009,RP#44,RP-090540,172,,,CR EVM correction. (Technically Endorsed CR in R4-50bis - R4-091309),8.6.0
05-2009,RP#44,RP-090540,177,,,CR power control accuracy. (Technically Endorsed CR in R4-50bis - R4-091418),8.6.0
05-2009,RP#44,RP-090540,179,,,Correction of SRS requirements. (Technically Endorsed CR in R4-50bis - R4-091426),8.6.0
05-2009,RP#44,RP-090540,186,,,Clarification for EVM. (Technically Endorsed CR in R4-50bis - R4-091512),8.6.0
05-2009,RP#44,RP-090540,187,,,Removal of [ ] from band 17 Refsens values and ACS offset frequencies,8.6.0
05-2009,RP#44,RP-090540,191,,,Completion of band17 requirements,8.6.0
05-2009,RP#44,RP-090540,192,,,"Removal of 1.4 MHz and 3 MHz bandwidths from bands 13, 14 and 17.",8.6.0
05-2009,RP#44,RP-090540,223,,,CR: 64 QAM EVM,8.6.0
05-2009,RP#44,RP-090540,201,,,CR In-band emissions,8.6.0
05-2009,RP#44,RP-090540,203,,,CR EVM exclusion period,8.6.0
05-2009,RP#44,RP-090540,204,,,CR In-band emissions timing,8.6.0
05-2009,RP#44,RP-090540,206,,,CR Minimum Rx exceptions,8.6.0
05-2009,RP#44,RP-090540,207,,,CR UL DM-RS EVM,8.6.0
05-2009,RP#44,RP-090540,218r1,,,A-MPR table for NS_07,8.6.0
05-2009,RP#44,RP-090540,205r1,,,CR In-band emissions in shortened subframes,8.6.0
05-2009,RP#44,RP-090540,200r1,,,CR PUCCH EVM,8.6.0
05-2009,RP#44,RP-090540,178r2,,,No additional emission mask indication. (Technically Endorsed CR in R4-50bis - R4-091421),8.6.0
05-2009,RP#44,RP-090540,220r1,,,Spectrum emission requirements for band 13,8.6.0
05-2009,RP#44,RP-090540,197r2,,,CR on aggregate power tolerance,8.6.0
05-2009,RP#44,RP-090540,196r2,,,CR: Rx  IP2 performance,8.6.0
05-2009,RP#44,RP-090541,198r1,,,Maximum output power relaxation,8.6.0
05-2009,RP#44,RP-090542,166,,,Update of performance requirement for TDD PDSCH with MBSFN configuration. (Technically Endorsed CR in R4-50bis - R4-091180),8.6.0
05-2009,RP#44,RP-090542,175,,,Adding AWGN levels  for some TDD DL performance requirements. (Technically Endorsed CR in R4-50bis - R4-091406),8.6.0
05-2009,RP#44,RP-090542,182,,,OCNG Patterns for Single Resource Block FRC Requirements. (Technically Endorsed CR in R4-50bis - R4-091504),8.6.0
05-2009,RP#44,RP-090542,170r1,,,Update of Clause 8: PHICH and PMI delay. (Technically Endorsed CR in R4-50bis - R4-091275),8.6.0
05-2009,RP#44,RP-090543,183,,,Requirements for frequency-selective fading test. (Technically Endorsed CR in R4-50bis - R4-091505),8.6.0
05-2009,RP#44,RP-090543,199,,,CQI requirements under AWGN conditions,8.6.0
05-2009,RP#44,RP-090543,188r1,,,Adaptation of UL-RMC-s for supporting more UE categories,8.6.0
05-2009,RP#44,RP-090543,193r1,,,Correction of the LTE UE downlink reference measurement channels,8.6.0
05-2009,RP#44,RP-090543,184r1,,,Requirements for frequency non-selective fading tests. (Technically Endorsed CR in R4-50bis - R4-091506),8.6.0
05-2009,RP#44,RP-090543,185r1,,,Requirements for PMI reporting. (Technically Endorsed CR in R4-50bis - R4-091510),8.6.0
05-2009,RP#44,RP-090543,221r1,,,Correction to DL RMC-s for Maximum input level for supporting more UE-Categories,8.6.0
05-2009,RP#44,RP-090543,216,,,Addition of 15 MHz and 20 MHz bandwidths into band 38,8.6.0
05-2009,RP#44,RP-090559,180,,,Introduction of Extended LTE800 requirements. (Technically Endorsed CR in R4-50bis - R4-091432),9.0.0
09-2009,RP#45,RP-090826,239,,,A-MPR for Band 19,9.1.0
09-2009,RP#45,RP-090822,225,,,LTE UTRA ACLR1 centre frequency definition for 1.4 and 3 MHz BW,9.1.0
