CQI Index,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Notes
Target Spectral Efficiency,,,,OOR,0.1523,0.2344,0.3770,0.6016,0.8770,1.1758,1.4766,1.9141,2.4063,2.7305,3.3223,3.9023,4.5234,5.1152,5.5547,
MCS Scheme,PRB,AvailableRE-s,Subslot number,Imcs,,,,,,,,,,,,,,,,
MCS.35-1,50,1408,1,DTX,0,1,3,6,8,9,14,16,16,22,24,27,28,28,28,Subslot 1
MCS.35-2,50,1008,2,DTX,0,0,2,4,6,8,11,13,15,18,20,22,24,26,27,Subslot 2
MCS.35-3,50,872,3,DTX,0,0,1,3,5,7,10,12,14,17,18,20,22,24,25,Subslot 3
MCS.35-4,50,1008,4,DTX,0,0,2,4,6,8,11,13,15,18,20,22,24,26,27,Subslot 4
MCS.35-5,50,1472,5,DTX,0,1,3,6,9,9,14,16,16,22,25,27,28,28,28,Subslot 5
MCS.36-1,50,1180,1,DTX,0,0,2,5,7,9,12,14,16,19,22,24,27,28,28,Subslot 1
MCS.36-2,50,680,2,DTX,0,0,0,2,4,5,10,10,12,17,17,17,19,20,22,Subslot 2
MCS.36-3,50,612,3,DTX,0,0,0,2,3,5,10,10,11,17,17,17,18,19,20,Subslot 3
MCS.36-4,50,680,4,DTX,0,0,0,2,4,5,10,10,12,17,17,17,19,20,20,Subslot 4
MCS.36-5,50,1212,5,DTX,0,1,3,5,7,9,12,15,16,20,22,25,27,28,28,Subslot 5
MCS.37-1,50,1180,1,DTX,0,0,2,5,7,9,12,14,16,19,22,24,27,28,28,Subslot 1
MCS.37-2,50,612,2,DTX,0,0,0,2,3,5,10,10,11,17,17,17,18,19,20,Subslot 2
MCS.37-3,50,612,3,DTX,0,0,0,2,3,5,10,10,11,17,17,17,18,19,20,Subslot 3
MCS.37-4,50,680,4,DTX,0,0,0,2,4,5,10,10,12,17,17,17,19,20,22,Subslot 4
MCS.37-5,50,1212,5,DTX,0,1,3,5,7,9,12,15,16,20,22,25,27,28,28,Subslot 5
Note 1:Mapping between Imcs and CQI Index according to Tables 7.1.7.1-1 in TS 36.213 [6].Note 2:Sub-frame#0 and #5 are not used for the corresponding requirement. The next subframe (i.e. sub-frame#1 or #6) shall be used for potential retransmissions.,,,,,,,,,,,,,,,,,,,,
