Parameter,Unit,Value,,,,,
Reference channel,,,R.5 FDD,R.6 FDD,R.7 FDD,R.8 FDD,R.9 FDD
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,15,25,50,75,100
Allocated subframes per Radio Frame,,,9,9,9,9,9
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4
Information Bit Payload,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,8504,14112,30576,46888,61664
For Sub-Frame 5,Bits,,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,,6456,12576,28336,45352,61664
Number of Code Blocks per Sub-Frame(Note 3),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,,2,3,5,8,11
For Sub-Frame 5,,,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,,2,3,5,8,11
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,11340,18900,41400,62100,82800
For Sub-Frame 5,Bits,,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,,8820,16380,38880,59580,80280
Max. Throughput averaged over 1 frame,Mbps,,7.449,12.547,27.294,42.046,55.498
UE Category,,,≥ 1,≥ 2,≥ 2,≥ 2,≥ 3
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
