RMC Name,Duplex,CH-BW,Alloc. RB-s,,UL/DL Config,,Alloc. SF-s,,,MCS Scheme,,Nr. HARQ Proc.,Max. nr HARQ Trans.,Notes
1 CRS Port,,,,,,,,,,,,,,
RC.1 FDD,FDD,10,50,,-,,,,,MCS.1,,8,1,
RC.1A FDD,FDD,10,50,,,,,,,MCS.1A,,8,1,
RC.1 TDD,TDD,10,50,,Note 3,,,,,MCS.1,,10,1,
RC.1A TDD,TDD,20,100,,Note 3,,,,,MCS.1B,,10,1,
RC.3 FDD,FDD,10,6,,-,,,,,MCS.10,,8,1,
RC.3 TDD,TDD,10,6,,Note 3,,,,,MCS.10,,10 or 7 (Note 9),1,
RC.4 FDD,FDD,10,15,,-,,,,,MCS.15,,8,1,Note 6
RC.4 TDD,TDD,10,15,,Note 3,,,,,MCS.15,,10,1,Note 6
RC.5 FDD,FDD,10,3,,-,,,,,MCS.17,,8,1,
RC.5 TDD,TDD,10,3,,Note 3,,,,,MCS.17,,10,1,
RC.14 FDD,FDD,5,25,,-,,,,,MCS.14,,8,1,
RC.15 FDD,FDD,5,15,,-,,,,,MCS.15,,8,1,Note 6
RC.16 FDD,FDD/HD-FDD,10,2,,,,,,,MCS.20,,8,1,"Note 8,10"
RC.16 TDD,TDD,10,2,,Note 3,,,,,MCS.20,,10,1,Note 8
RC.23FDD,FDD/HD-FDD,10,3,,,,,,,MCS.28,,8,1,"Note 12, 13"
RC.23 TDD,TDD,10,3,,,,,,,MCS.28,,10,1,Note 12
RC.25 FDD,FDD/HD-FDD,10,3,,,,,,,MCS.28,,8,1,"Note 14, 20"
RC.25 TDD,TDD,10,3,,,,,,,MCS.28,,10,1,"Note 12, 15"
RC.31 FDD,FDD/HD-FDD,10,3,,,,,,,MCS.40,,8,1,"Note 12, 13"
RC.31 TDD,TDD,10,3,,,,,,,MCS.40,,10,1,Note 12
RC.32 FDD,FDD/HD-FDD,10,3,,,,,,,MCS.41,,8,1,"Note 12, 13"
RC.32 TDD,TDD,10,3,,,,,,,MCS.41,,10,1,Note 12
RC.30 FDD,FDD,10,50,,,,,,,MCS.38,,8,1,
RC.30 TDD,TDD,20,100,,,,,,,MCS.39,,10,1,
2 CRS Ports,,,,,,,,,,,,,,
RC.2 FDD,FDD,10,50,,-,,,,,MCS.2,,8,1,
RC.2A FDD,FDD,20,100,,,,,,,MCS.2A,,8,1,
RC.2 TDD,TDD,10,50,,Note 3,,,,,MCS.2,,10 or 7 (Note 9),1,
RC.4A FDD,FDD,20,15,,-,,,,,MCS.16,,8,1,Note 6
RC.6 FDD,FDD,10,15,,-,,,,,MCS.16,,8,1,Note 6
RC.6 TDD,TDD,10,15,,Note 3,,,,,MCS.16,,7,1,Note 6
4 CRS Ports,,,,,,,,,,,,,,
RC.17 FDD,FDD,10,50,,-,,,,,MCS.18,,8,1,
RC.17 TDD,TDD,10,50,,Note 3,,,,,MCS.18,,7,1,
RC.21 FDD,FDD,10,50,,-,,,,,MCS.26,,8,1,
RC.21 TDD,TDD,10,50,,Note 3,,,,,MCS.26,,7,1,
1 CRS Port + CSI-RS,,,,,,,,,,,,,,
RC.8 FDD,FDD,10,6,,-,,NonCSI-RS,,,MCS.11,,8,1,
,,,,,,,2 CSI-RS,,,MCS.12,,,,
RC.8A FDD,FDD,10,6,,-,,NonCSI-RS,,,MCS.11A,,8,1,
,,,,,,,2 CSI-RS,,,MCS.12A,,,,
RC.8 TDD,TDD,10,6,,Note 3,,NonCSI-RS,,,MCS.11,,10,1,
,,,,,,,2 CSI-RS,,,MCS.12,,,,
RC.8A TDD,TDD,20,8,,Note 3,,NonCSI-RS,,,MCS.11B,,10,1,
,,,,,,,2 CSI-RS,,,MCS.12B,,,,
RC.9 FDD,FDD,10,50,,-,,NonCSI-RS,,,MCS.3,,8,1,
,,,,,,,2 CSI-RS,,,MCS.4,,,,
RC.9A FDD,FDD,20,100,,-,,NonCSI-RS,,,MCS.3A,,8,1,
,,,,,,,2 CSI-RS,,,MCS.4A,,,,
RC.9B FDD,FDD,10,50,,-,,"NonCSI-RS, rank 1/2",,,MCS.3,,8,1,
,,,,,,,"NonCSI-RS, rank 3/4",,,MCS.30,,,,
,,,,,,,"4 CSI-RS, rank 1/2",,,MCS.29,,,,
,,,,,,,"4 CSI-RS, rank 3/4",,,MCS.31,,,,
RC.9 TDD,TDD,10,50,,Note 3,,NonCSI-RS,,,MCS.3,,7,1,
,,,,,,,2 CSI-RS,,,MCS.4,,,,
RC.9B TDD,TDD,10,50,,Note 3,,"NonCSI-RS, rank 1/2",,,MCS.3,,7,1,
,,,,,,,"NonCSI-RS, rank 3/4",,,MCS.30,,,,
,,,,,,,"4 CSI-RS, rank 1/2",,,MCS.29,,,,
,,,,,,,"4 CSI-RS, rank 3/4",,,MCS.31,,,,
2 CRS Port + CSI-RS,,,,,,,,,,,,,,
RC.7 FDD,FDD,10,50,,-,,NonCSI-RS,,,MCS.5,,8,1,
,,,,,,,4 CSI-RS,,,MCS.7,,,,
RC.7 TDD,TDD,10,50,,Note 3,,NonCSI-RS,,,MCS.5,,10,1,
,,,,,,,8 CSI-RS,,,MCS.8,,,,
RC.11 FDD,FDD,10,50,,-,,NonCSI-RS,,,MCS.5,,8,1,
,,,,,,,2 CSI-RS,,,MCS.6,,,,
RC.11 TDD,TDD,10,50,,Note 3,,NonCSI-RS,,,MCS.5,,10,1,
,,,,,,,2 CSI-RS,,,MCS.6,,,,
RC.18 FDD,FDD,10,6,,-,,NonCSI-RS,,,MCS.13,,8,1,
,,,,,,,4 CSI-RS,,,MCS.19,,,,
RC.18 TDD,TDD,10,6,,Note 3,,NonCSI-RS,,,MCS.13,,7,1,
,,,,,,,4 CSI-RS,,,MCS.19,,,,
RC.17 TDD,TDD,10,6,,Note 3,,4 ZP-CSI-RS,,,MCS.21,,10,1,
RC.18 TDD,TDD,10,6,,Note 3,,4 ZP-CSI-RS,,,MCS.22,,10,1,
RC.19 TDD,TDD,10,41,,Note3,,4 ZP-CSI-RS,,,MCS.23,,10,1,Note 11
RC.20 TDD,TDD,10,50,,Note3,,NonCSI-RS,,,MCS.24,,10,1,
,,,,,,,"2 CSI-RS,4 ZP-CSI-RS",,,MCS.25,,,,
RC.22 FDD,FDD,10,50,,-,,NonCSI-RS,,,MCS.5,,8,1,
,,,,,,,4 CSI-RS,,,MCS.27,,,,
RC.22 TDD,TDD,10,50,,Note 3,,NonCSI-RS,,,MCS.5,,10,1,
,,,,,,,4 CSI-RS,,,MCS.27,,,,
RC.23 TDD,TDD,10,50,,Note 3,,NonCSI-RS,,,MCS.9,,10,1,Rank 4
,,,,,,,4 CSI-RS,,,MCS.32,,,,
1 CRS Port + CSI-RS + CSI-IM,,,,,,,,,,,,,,
RC.13 FDD,FDD,10,,50,,-,,Non CSI-RS/IM,MCS.3,,8,,1,
,,,,,,,,CSI-RS/IM,N/A,,,,,
RC.13 TDD,TDD,10,,50,,Note 3,,Non CSI-RS/IM,MCS.3,,10,,1,
,,,,,,,,CSI-RS/IM,N/A,,,,,
2 CRS Port + CSI-RS + CSI-IM,,,,,,,,,,,,,,
RC.10 FDD,FDD,10,,50,,-,,NonCSI-RS,MCS.5,,8,,1,
,,,,,,,,"4 CSI-RS, 1 CSI process",MCS.8,,,,,
RC.10 TDD,TDD,10,,50,,Note 3,,NonCSI-RS,MCS.5,,10,,1,
,,,,,,,,"8 CSI-RS,1 CSI process",MCS.9,,,,,
RC.12 FDD,FDD,10,,6,,-,,Non CSI-RS/IM,MCS.13,,8,,1,
,,,,,,,,CSI-RS/IM,N/A,,,,,
RC.12 TDD,TDD,10,,6,,Note 3,,Non CSI-RS/IM,MCS.13,,10,,1,
,,,,,,,,CSI-RS/IM,N/A,,,,,
Short TTI,,,,,,,,,,,,,,
RC.26 FDD,FDD,10,,50,,-,,-,MCS.32-1MCS.32-2,,8,,1,Note 2
RC.27 FDD,FDD,10,,50,,-,,NonCSI-RS,MCS.33-1MCS.33-2,,8,,1,Note 2
,FDD,10,,50,,-,,2 CSI-RS,MCS.34-1MCS.34-2,,8,,1,Note 2
RC.28 FDD,FDD,10,,50,,-,,-,MCS.35-1MCS.35-2MCS.35-3MCS.35-4MCS.35-5,,16,,1,Note 2Note 17Note 18
RC.29 FDD,FDD,10,,50,,-,,NonCSI-RS,MCS.36-1MCS.36-2MCS.36-3MCS.36-4MCS.36-5,,16,,1,Note 2Note 17Note 19
,FDD,10,,50,,-,,2 CSI-RS,MCS.37-1MCS.37-2MCS.37-3MCS.37-4MCS.37-5,,16,,1,Note 2Note 17Note 19
RC.26 TDD,TDD,10,,50,,-,,-,MCS.32-1MCS.32-2,,10,,1,Note 5
RC.27 TDD,TDD,10,,50,,-,,NonCSI-RS,MCS.33-1MCS.33-2,,16,,1,Note 5
,TDD,10,,50,,-,,2 CSI-RS,MCS.34-1MCS.34-2,,16,,1,Note 5
Narrowband IoT,,,,,,,,,,,,,,
RC.33 FDD,HD-FDD,200kHz,,1,,-,,-,MCS.42,,1,,1,
RC.33 TDD,TDD,200kHz,,1,,Note 3,,-,MCS.42,,1,,1,
"Note 1:3 symbols allocated to PDCCH.Note 2:For FDD only subframes 1, 2, 3, 4, 6, 7, 8 and 9 are allocated to avoid PBCH and synchronization signal overhead.Note 3:TDD UL-DL configuration as specified in the individual tests.Note 4:For TDD when UL-DL configuration 1 is used only subframes 4 and 9 are allocated to avoide PBCH and synchronizaiton signal overhead.Note 5:For TDD when UL-DL configuration 2 is used only subframes 3, 4, 8, and 9 are allocated to avoid PBCH and synchronization signal overhead.Note 6:Centered within the Transmission Bandwidth Configuration (Figure 5.6-1).Note 7:Only subframes 2, 3, 4, 7, 8 and 9 are allocated to avoid PBCH and synchronization signal overhead.Note 8:Allocate PDSCH on 5th and 6th PRBs within a subband.Note 9: The number of HARQ processes is 10 for TDD UL/DL configuration 2 and 7 for TDD UL/DL configuration 1.Note 10: The downlink subframes are scheduled at the 1st, 2nd, 8th, 9th, 16th, 17th, 18th, 24th, 26th, 32nd, 33rd, 34th subframes every 40ms. Information bit payload is available if downlink subframe is scheduled.(starting from 0th subframe)Note 11:41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in subframe 0 and 5 in RC.19 TDD.Note 12:Allocate PDSCH on 3th, 4th and 5th PRBs within a narrowband. Allocate MPDCCH on the 0th and 1st PRBs within a narrowband.Note 13:The PDSCH subframes are scheduled at the 0th and 1st subframes every 10ms. Information bit payload is available if downlink subframe is scheduled (starting from 0th subframe). MPDCCH subframes are scheduled at the 8th and 9th subframes every 10ms.Note 14:The downlink subframes are scheduled at the 0th to 4th subframes every 20ms. Information bit payload is scheduled at the 4th subframe (starting from 0th subframe). MPDCCH and Information bit payload are not scheduled in the radio frames where systemInformation1-BR is scheduled and  = 4 with the set of frames and subframes for SIB1-BR defined in TS 36.211 [16] Table 6.4.1-2.Note 15:Information bit payload is scheduled at the 8th subframe every 20ms (starting from 0th subframe).Note 16:2 symbols allocated for PDCCH.Note 17:No PDSCH is scheduled in subslot index 0.Note 18:Subslot-PDSCH is scheduled in subslots 2, 3, and 4.Note 19:Subslot-PDSCH is scheduled in subslots 1 and 5.Note 20:Allocate PDSCH on 3th, 4th and 5th PRBs within a narrowband. Allocate MPDCCH on the 0th, 1st, 2nd and 3rd PRBs within a narrowband.",,,,,,,,,,,,,,
