CQI Index,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Notes
Target Coding Rate,,,,OOR,0.0762,0.1172,0.1885,0.3008,0.4385,0.5879,0.3691,0.4785,0.6016,0.4551,0.5537,0.6504,0.7539,0.8525,0.9258,
Modulation,,,,OOR,QPSK,,,,,,16QAM,,,64QAM,,,,,,
MCS Scheme,,PRB,AvailableRE-s,Imcs,,,,,,,,,,,,,,,,
MCS.1,,50,6300,DTX,0,0,2,4,6,8,11,13,16,18,21,23,25,27,27,
MCS.2,,50,6000,DTX,0,0,2,4,6,8,11,13,15,18,20,22,24,26,27,
MCS.2A,,100,12000,DTX,0,0,2,4,6,8,11,13,15,18,20,22,24,26,27,
MCS.3,,50,5700,DTX,0,0,2,4,6,8,10,13,15,17,19,21,23,25,26,
MCS.3A,,100,11400,DTX,0,0,2,4,6,8,11,13,15,17,19,21,23,25,26,
MCS.4,,50,5600,DTX,0,0,2,4,6,7,10,12,14,17,19,21,23,25,26,
MCS.4A,,100,11200,DTX,0,0,2,4,6,7,10,12,14,17,19,21,23,25,26,
MCS.5,,50,5400,DTX,0,0,2,3,5,7,10,12,14,17,19,21,23,24,25,
MCS.6,,50,5300,DTX,0,0,1,3,5,7,10,12,14,17,19,21,22,24,25,
MCS.7,,50,5200,DTX,0,0,1,3,5,7,10,12,14,17,18,20,22,24,25,
MCS.8,,50,5000,DTX,0,0,1,3,5,7,10,12,13,17,18,20,22,23,24,
MCS.9,,50,4800,DTX,0,0,1,3,5,7,10,12,13,17,18,20,22,23,24,
MCS.10,,6,756,DTX,0,0,2,4,6,8,11,13,16,19,21,23,25,27,27,
MCS.11,,6,684,DTX,0,0,2,4,6,8,11,13,14,17,20,21,23,25,27,
MCS.12,,6,672,DTX,0,0,1,4,6,8,10,12,14,17,19,21,23,25,26,
MCS.13,,6,648,DTX,0,0,1,3,5,7,10,12,14,17,19,21,22,24,25,
MCS.14,,25,3150,DTX,0,0,2,4,6,8,11,13,16,18,21,23,25,27,27,
MCS.15,,15,1890,DTX,0,0,2,4,6,8,11,13,16,18,21,23,25,27,27,
MCS.16,,15,1800,DTX,0,0,2,4,6,8,11,13,15,18,20,22,24,26,27,
MCS.17,,3,378,DTX,0,1,2,5,7,9,12,13,16,19,21,23,25,27,27,
MCS.18,,50,5800,DTX,0,0,2,4,6,8,11,13,15,17,20,22,23,26,27,
MCS.19,,6,624,DTX,0,0,1,3,5,7,10,12,14,17,18,20,22,24,25,
MCS.20,,2,252,DTX,0,0,2,4,6,8,11,13,16,19,21,23,23,23,23,
MCS.21,,6,696,DTX,0,0,2,4,6,8,11,13,15,18,20,21,24,25,27,
MCS.22,,6,624,DTX,0,0,1,3,5,7,10,12,14,15,19,20,22,24,24,
MCS.23,,41,4264,DTX,0,0,1,3,5,7,10,12,14,15,18,20,22,24,24,
MCS.24,,50,5400,DTX,0,0,2,3,5,7,10,12,14,15,19,21,23,24,25,
MCS.25,,50,5100,DTX,0,0,1,3,5,7,8,12,13,15,18,20,22,23,24,
MCS 26,,50,5800,DTX,0,0,2,4,6,8,11,13,15,18,20,22,24,26,27,
MCS.27,CW0,50,4600,DTX,0,0,1,3,5,6,10,11,13,17,18,19,21,23,23,
,CW1,50,4600,DTX,0,0,1,3,5,6,10,11,13,17,18,19,21,22,23,
MCS 29,,50,5500,DTX,0,0,2,3,5,7,10,12,14,15,19,21,23,24,25,
MCS.30,,50,10200,DTX,0,0,1,3,5,7,8,12,14,15,18,20,22,23,24,
MCS.31,,50,9800,DTX,0,0,1,3,5,7,8,11,13,14,18,20,21,23,23,
MCS.32,,50,4600,DTX,0,0,1,3,5,6,10,11,13,17,18,19,21,22,23,2Layer1CW
Note 1:Mapping between Imcs and TBS according to Tables 7.1.7.1-1 and 7.1.7.2.1-1 in TS 36.213 [6].Note 2:3 symbols allocated to PDCCH.Note 3:Sub-frame#0 and #5 are not used for the corresponding requirement except for [MCS.23]. The next subframe (i.e. sub-frame#1 or #6) shall be used for potential retransmissions.,,,,,,,,,,,,,,,,,,,,
