Parameter,Unit,Value
Reference channel,,R.69 TDD
Channel bandwidth,MHz,10
Allocated resource blocks,,50 (Note 4)
Uplink-Downlink Configuration (Note 3),,1
Allocated subframes per Radio Frame (D+S),,2+2
Modulation,,QPSK
Target Coding Rate,,
For Sub-Frame 4(CSI-RS subframe),,0.8
For Sub-Frame 9 (non CSI-RS subframe),,0.74
"For Sub-Frames 1,6",,0.61
Information Bit Payload,,
For Sub-Frame 4(CSI-RS subframe),Bits,7992
For Sub-Frame 9 (non CSI-RS subframe),Bits,7992
"For Sub-Frames 1,6",Bits,4776
For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,N/A
Number of Code Blocks per Sub-Frame(Note 5),,
For Sub-Frame 4(CSI-RS subframe),,2
For Sub-Frame 9 (non CSI-RS subframe),,2
"For Sub-Frames 1,6",,1
For Sub-Frame 5,,N/A
For Sub-Frame 0,,N/A
Binary Channel Bits Per Sub-Frame,,
For Sub-Frame 4(CSI-RS subframe),Bits,10000
For Sub-Frame 9 (non CSI-RS subframe),Bits,10800
"For Sub-Frames 1,6",Bits,7872
For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,N/A
Max. Throughput averaged over 1 frame,Mbps,2.5536
UE Category,,≥ 1
"Note 1:3 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4: 50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in the DwPTS portion of sub-frames 1,6.Note 5: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,
