Parameter,Unit,Value,,,,,,
Reference channel,,R.76-1 TDD,R.76-2 TDD,R.76-3 TDD,R.76-4 TDD,R.76-5 TDD,R.76-6 TDD,R.76-7 TDD
Channel bandwidth,MHz,5,15,20,5,10,15,20
Allocated resource blocks,,25 (Note 6),75 (Note 7),100 (Note 8),25 (Note 6),50 (Note 5),75 (Note 7),100 (Note 8)
Uplink-Downlink Configuration (Note 3),,1,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,,,,,,,
Information Bit Payload,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,NA,NA,NA,NA,NA,NA,NA
"For Sub-Frame 4,9",Bits,2600,9144,12216,3496,7992,11832,15840
"For Sub-Frames 1,6",Bits,1480,5736,7992,1864,4776,7480,10296
For Sub-Frame 5,Bits,n/a,n/a,n/a,n/a,n/a,n/a,n/a
For Sub-Frame 0,Bits,1736,7736,10680,2344,6456,9912,14112
Number of Code Blocks (Note 4),,,,,,,,
"For Sub-Frames 4, 9 (non CSI-RS subframe)",Code blocks,NA,NA,NA,NA,2,NA,NA
"For Sub-Frames 4,9",Code blocks,1,2,2,1,2,2,3
"For Sub-Frames 1,6",Code blocks,1,1,1,1,1,1,2
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Code blocks,1,2,2,1,2,2,3
Binary Channel Bits,,,,,,,,
"For Sub-Frames 4,9",Bits,5100,17100,22800,5100,11800,17100,22800
"For Sub-Frames 1,6",Bits,3072,12096,16896,3072,7872,12096,16896
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,3456,15120,21120,3456,9840,15120,21120
Max. Throughput averaged over 1 frame,Mbps,0.9896,3.7496,5.1096,1.3064,3.1992,4.8536,6.6384
UE Category,,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 6:25 resource blocks are allocated in sub-frames 4,9 and 17 resource blocks (RB0–RB9 and RB18–RB24) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 7:75 resource blocks are allocated in sub-frames 4,9 and 63 resource blocks (RB0–R31 and RB44–RB74) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 8:100 resource blocks are allocated in sub-frames 4,9 and 88 resource blocks (RB0–RB43 and RB56–RB99) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 9:Given per component carrier per codeword.",,,,,,,,
