Parameter,PMCH,,,,,,
,Unit,Value,,,,,
Reference channel,,,R.85-1 FDD,R.85-2 FDD,R.85-3 FDD,,
Channel bandwidth,MHz,,3,5,10,,
Allocated resource blocks,,,15,25,50,,
Allocated subframes per Radio Frame(Note1),,,10,10,10,,
Modulation,,,QPSK,16QAM,64QAM,,
Target Coding Rate,,,1/3,1/2,2/3,,
Information Bit Payload (Note 2),,,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,,1064,4968,19848,,
Number of Code Blocks per Sub-Frame (Note 3),,,1,1,4,,
Binary Channel Bits Per Subframe,,,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,,3060,10200,30600,,
MBMS UE Category,,,≥ 1,≥ 1,≥ 2,,
"Note 1:For FDD mode, all 10 subframes are available for MBMS, in line with TS 36.331 [7].Note 2:2 OFDM symbols are reserved for PDCCH; and no CRS allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
