Parameter,Unit,Value,,,,,,,
Reference channel,,R.31-1 FDD,R.31-2 FDD,R.31-3 FDD,R.31-3A FDD,R.31-3C FDD,R.31-4 FDD,R.31-4B FDD,R.31-5 FDD
Channel bandwidth,MHz,10,10,20,10,15,20,15,15
Allocated resource blocks (Note 8),,Note 5,Note 6,Note 7,Note 6,Note 10,Note 7,Note 11,Note 9
Allocated subframes per Radio Frame,,10,10,10,10,10,10,10,10
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Coding Rate,,,,,,,,,
"For Sub-Frame 1,2,3,4,6,7,8,9,",,0.40,0.59,0.59,0.85,0.87,0.88,0.85,0.85
For Sub-Frame 5,,0.40,0.64,0.62,0.89,0.88,0.87,0.87,0.91
For Sub-Frame 0,,0.40,0.63,0.61,0.90,0.91,0.90,0.88,0.88
Information Bit Payload (Note 8),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,10296,25456,51024,36696,51024,75376,55056,55056
For Sub-Frame 5,Bits,10296,25456,51024,35160,51024,71112,52752,52752
For Sub-Frame 0,Bits,10296,25456,51024,36696,51024,75376,55056,55056
Number of Code Blocks(Notes 3 and 8),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,2,5,9,6,9,13,9,9
For Sub-Frame 5,Bits,2,5,9,6,9,12,9,9
For Sub-Frame 0,Bits,2,5,9,6,9,13,9,9
Binary Channel Bits (Note 8),,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,26100,43200,86400,43200,58752,86400,64800,64800
For Sub-Frame 5,Bits,26100,39744,82080,39744,57888,82080,60480,60480
For Sub-Frame 0,Bits,26100,40752,83952,40752,56304,83952,62352,62352
Number of layers,,1,2,2,2,2,2,2,2
Max. Throughput averaged over 1 frame (Note 8),Mbps,10.296,25.456,51.024,36.542,51.024,74.950,54.826,54.826
UE Categories,,≥ 1,≥ 2,≥ 2,≥ 2,≥ 3,≥ 3,≥ 4,≥ 3
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:Resource blocks nPRB = 0..2 are allocated for SIB transmissions in sub-frame 5 for all bandwidths.Note 5:Resource blocks nPRB = 6..14,30..49 are allocated for the user data in all sub-frames.Note 6:Resource blocks nPRB = 3..49 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..49 in sub-frames 0,1,2,3,4,6,7,8,9.Note 7:Resource blocks nPRB = 4..99 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..99 in sub-frames 0,1,2,3,4,6,7,8,9.Note 8: Given per component carrier per codeword.Note 9:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in sub-frames 0,1,2,3,4,6,7,8,9.Note 10:Resource blocks nPRB = 4..71 are allocated for the user data in sub-frames 0,1,2,3,4,5,6,7,8,9.Note 11:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in sub-frames 0,1,2,3,4,6,7,8,9.",,,,,,,,,
