Parameter,Unit,Value,,,,,,,,,,,,
Reference channel,,R.12 TDD,R.13 TDD,R.14 TDD,R.14-1 TDD,R.14-2 TDD,R.43 TDD,R.36 TDD,R.43-1 TDD,R.43-2 TDD,R.43-3 TDD,R.43-4 TDD,R.43-5 TDD,R.36-1 TDD
Channel bandwidth,MHz,1.4,10,10,10,10,20,10,1.4,3,5,10,15,10
Allocated resource blocks (Note 6),,6,50,50,6,3,100,50,6,15,25,50,75,50
Uplink-Downlink Configuration (Note 4),,1,1,1,1,1,1,1,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3,3+2,2+2,2,2,2+2,2+2,2,2+2,2+2,2+2,2+2,2+2
Modulation,,QPSK,QPSK,16QAM,16QAM,16QAM,16QAM,64QAM,16QAM,16QAM,16QAM,16QAM,16QAM,64QAM
Target Coding Rate,,1/3,1/3,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,½,½,0.55
Information Bit Payload (Note 6),,,,,,,,,,,,,,
"For Sub-Frames 4,9",Bits,408,4392,12960,1544,744,25456,18336,1192,3368,5736,12960,19080,21384
"For Sub-Frames 1,6",Bits,N/A,3240,9528,N/A,N/A,21384,15840,N/A,2856,5160,10680,15840,16992
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,208,4392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Number of Code Blocks (Notes 5 and 6),,,,,,,,,,,,,,
"For Sub-Frames 4,9",,1,1,3,1,1,5,3,1,1,1,3,4,4
"For Sub-Frames 1,6",,N/A,1,2,N/A,N/A,4,3,N/A,1,1,2,3,3
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Channel Bits (Note 6),,,,,,,,,,,,,,
"For Sub-Frames 4,9",Bits,1248,12800,25600,3072,1536,51200,38400,2496,6960,11600,25600,38400,38400
"For Sub-Frames 1,6",,N/A,10256,20512,N/A,N/A,41312,30768,N/A,5952,10112,20512,30912,30768
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,624,12176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max. Throughput averaged over 1 frame (Note 6),Mbps,0.102,1.966,4.498,0.309,0.149,9.368,6.835,0.238,1.245,2.179,4.728,6.984,7.675
UE Category,,≥ 1,≥ 1,≥ 2,≥ 1,≥ 1,≥ 2,≥ 2,≥ 1,≥ 1,≥ 1,≥ 2,≥ 2,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2: For BW=1.4 MHz, the information bit payloads of special subframes are set to zero (no scheduling) to avoid problems with insufficient PDCCH performance at the test point.Note 3:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 4:As per Table 4.2-2 in TS 36.211 [4].Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 6:Given per component carrier per codeword.",,,,,,,,,,,,,,
