Parameter,Ch BW,Allocated RBs,DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,Payload size,Transport block CRC,Number of code blocks per Sub-Frame (Note 1),Total number of bits per Sub-Frame,Total symbols per Sub-Frame
Unit,MHz,,,,,Bits,Bits,,Bits,
,"10, 20",3,10,QPSK,1/3,208,24,1,720,360
,"10, 20",4,10,QPSK,1/3,256,24,1,960,480
,"10, 20",5,10,QPSK,1/3,328,24,1,1200,600
,"10, 20",6,10,QPSK,1/3,408,24,1,1440,720
,"10, 20",8,10,QPSK,1/3,552,24,1,1920,960
,"10, 20",9,10,QPSK,1/3,632,24,1,2160,1080
,"10, 20",10,10,QPSK,1/3,696,24,1,2400,1200
,"10, 20",12,10,QPSK,1/3,840,24,1,2880,1440
,"10, 20",15,10,QPSK,1/3,1064,24,1,3600,1800
,"10, 20",16,10,QPSK,1/3,1128,24,1,3840,1920
,"10, 20",18,10,QPSK,1/3,1288,24,1,4320,2160
,"10, 20",20,10,QPSK,1/3,1416,24,1,4800,2400
,"10, 20",24,10,QPSK,1/3,1736,24,1,5760,2880
,"10, 20",25,10,QPSK,1/3,1800,24,1,6000,3000
,"10, 20",27,10,QPSK,1/3,1928,24,1,6480,3240
,"10, 20",30,10,QPSK,1/3,2152,24,1,7200,3600
,"10, 20",32,10,QPSK,1/3,2280,24,1,7680,3840
,"10, 20",36,10,QPSK,1/3,2600,24,1,8640,4320
,"10, 20",40,10,QPSK,1/3,2856,24,1,9600,4800
,"10, 20",45,10,QPSK,1/3,3240,24,1,10800,5400
,"10, 20",48,10,QPSK,1/3,3496,24,1,11520,5760
,20,50,10,QPSK,1/3,3624,24,1,24000,12000
,20,54,10,QPSK,1/3,4776,24,1,25920,12960
,20,60,10,QPSK,1/3,5352,24,1,28800,14400
,20,64,10,QPSK,1/3,4584,24,1,30720,15360
,20,72,10,QPSK,1/3,5160,24,1,34560,17280
,20,75,10,QPSK,1/3,5352,24,1,36000,18000
,20,80,10,QPSK,1/3,5736,24,1,38400,19200
,20,81,10,QPSK,1/3,5736,24,1,38880,19440
,20,90,10,QPSK,1/3,6456,24,2,43200,21600
,20,96,10,QPSK,1/3,6968,24,2,46080,23040
