Parameter,PMCH,,,,,,
,Unit,Value,,,,,
Reference channel,,,,R.39-1 FDD,R.39 FDD,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,25,50,,
Allocated subframes per Radio Frame(Note1),,,,6,6,,
Modulation,,,,64QAM,64QAM,,
Target Coding Rate,,,,2/3,2/3,,
Information Bit Payload (Note 2),,,,,,,
"For Sub-Frames 1,2,3,6,7,8",Bits,,,9912,19848,,
"For Sub-Frames 0,4,5,9",Bits,,,N/A,N/A,,
Number of Code Blocks per Sub-Frame (Note 3),,,,2,4,,
Binary Channel Bits Per Subframe,,,,,,,
"For Sub-Frames 1,2,3,6,7,8",Bits,,,15300,30600,,
"For Sub-Frames 0,4,5,9",Bits,,,N/A,N/A,,
MBMS UE Category,,,,≥ 1,≥ 2,,
"Note 1:For FDD mode, up to 6 subframes (#1/2/3/6/7/8) are available for MBMS, in line with TS 36.331.Note 2:2 OFDM symbols are reserved for PDCCH; and reference signal allocated as per TS 36.211.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
