Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
TDD,Table A.2.3.2.1-1,,1.4 - 20,QPSK,1/3,1,,≥ 1,
TDD,Table A.2.3.2.1-1,,1.4 - 20,QPSK,1/3,2,,≥ 1,
TDD,Table A.2.3.2.1-1,,1.4 - 20,QPSK,1/3,3,,≥ 1,
TDD,Table A.2.3.2.1-1,,1.4 - 20,QPSK,1/3,4,,≥ 1,
TDD,Table A.2.3.2.1-1,,1.4 - 20,QPSK,1/3,5,,≥ 1,
TDD,Table A.2.3.2.1-1,,3 - 20,QPSK,1/3,6,,≥ 1,
TDD,Table A.2.3.2.1-1,,3 - 20,QPSK,1/3,8,,≥ 1,
TDD,Table A.2.3.2.1-1,,3 - 20,QPSK,1/3,9,,≥ 1,
TDD,Table A.2.3.2.1-1,,3 - 20,QPSK,1/3,10,,≥ 1,
TDD,Table A.2.3.2.1-1,,3 - 20,QPSK,1/3,12,,≥ 1,
TDD,Table A.2.3.2.1-1,,5 - 20,QPSK,1/3,15,,≥ 1,
TDD,Table A.2.3.2.1-1,,5 - 20,QPSK,1/3,16,,≥ 1,
TDD,Table A.2.3.2.1-1,,5 - 20,QPSK,1/3,18,,≥ 1,
TDD,Table A.2.3.2.1-1,,5 - 20,QPSK,1/3,20,,≥ 1,
TDD,Table A.2.3.2.1-1,,5 - 20,QPSK,1/3,24,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,25,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,27,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,30,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,32,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,36,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,40,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,45,,≥ 1,
TDD,Table A.2.3.2.1-1,,10 - 20,QPSK,1/3,48,,≥ 1,
TDD,Table A.2.3.2.1-1,,15 - 20,QPSK,1/3,50,,≥ 1,
TDD,Table A.2.3.2.1-1,,15 - 20,QPSK,1/3,54,,≥ 1,
TDD,Table A.2.3.2.1-1,,15 - 20,QPSK,1/4,60,,≥ 1,
TDD,Table A.2.3.2.1-1,,15 - 20,QPSK,1/4,64,,≥ 1,
TDD,Table A.2.3.2.1-1,,15 - 20,QPSK,1/4,72,,≥ 1,
TDD,Table A.2.3.2.1-1,,20,QPSK,1/5,75,,≥ 1,
TDD,Table A.2.3.2.1-1,,20,QPSK,1/5,80,,≥ 1,
TDD,Table A.2.3.2.1-1,,20,QPSK,1/5,81,,≥ 1,
TDD,Table A.2.3.2.1-1,,20,QPSK,1/6,90,,≥ 1,
TDD,Table A.2.3.2.1-1,,20,QPSK,1/6,96,,≥ 1,
TDD,Table A.2.3.2.1-1A,,1.4 - 20,QPSK,1/3,1,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,1.4 - 20,QPSK,1/3,2,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,1.4 - 20,QPSK,1/3,3,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,1.4 - 20,QPSK,1/3,4,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,1.4 - 20,QPSK,1/3,5,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,3 - 20,QPSK,1/3,6,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,3 - 20,QPSK,1/3,8,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,3 - 20,QPSK,1/3,9,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,3 - 20,QPSK,1/3,10,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,3 - 20,QPSK,1/3,12,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,5 - 20,QPSK,1/3,15,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,5 - 20,QPSK,1/3,16,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,5 - 20,QPSK,1/3,18,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,5 - 20,QPSK,1/3,20,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,5 - 20,QPSK,1/3,24,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,25,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,27,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,30,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,32,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,36,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,40,,≥ 1,UL-DL configuration 0
TDD,Table A.2.3.2.1-1A,,10 - 20,QPSK,1/3,45,,≥ 1,UL-DL configuration 0
