Parameter,Unit,Values
Reference channel,,R.95 FDD
Channel bandwidth,MHz,10
Allocated resource blocks (Note 4),,3
Allocated DL subframes per Radio Frame (Note 3),,2
Modulation,,16QAM
Target Coding Rate,,1/2
Information Bit Payload,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,744
Number of Code Blocks,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Code blocks,1
Binary Channel Bits,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,1536
Max. Throughput averaged over 1 frame,Mbps,0.149
UE DL Category,,M2
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:The downlink subframes are scheduled at the 0th and 1st subframes every 10ms. Information bit payload is available if downlink subframe is scheduled (starting from 0th subframe). The corresponding MPDCCH is scheduled 2 subframes before the corresponding PDSCH transmissions.Note 4:Allocated PRB positions for PDSCH are {3, 4, 5} within the assigned narrowband. Allocated PRB positions for MPDCCH are {0, 1} within the assigned narrowband.",,
