Parameter,Ch BW,Allocated RBs,UDL Configuration (Note 2),DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,"Payload size for Sub-Frame 2, 3, 7, 8",Transport block CRC,Number of code blocks per Sub-Frame (Note 1),"Total number of bits per Sub-Frame for Sub-Frame 2, 3, 7, 8","Total symbols per Sub-Frame for Sub-Frame 2, 3, 7, 8",UE Category
Unit,MHz,,,,,,Bits,Bits,,Bits,,
,1.4 - 20,1,1,12,QPSK,1/3,72,24,1,288,144,M2
,1.4 - 20,2,1,12,QPSK,1/3,176,24,1,576,288,M2
,1.4 - 20,3,1,12,QPSK,1/3,256,24,1,864,432,M2
,1.4 - 20,4,1,12,QPSK,1/3,392,24,1,1152,576,M2
,1.4 - 20,5,1,12,QPSK,1/3,424,24,1,1440,720,M2
,3-20,6,1,12,QPSK,1/3,600,24,1,1728,864,M2
,3-20,9,1,12,QPSK,1/3,776,24,1,2592,1296,M2
,3-20,12,1,12,QPSK,1/3,1032,24,1,3456,1728,M2
,5-20,15,1,12,QPSK,1/3,1320,24,1,4320,2160,M2
,5-20,18,1,12,QPSK,1/3,1864,24,1,5184,2592,M2
,5-20,21,1,12,QPSK,1/3,2216,24,1,6068,3024,M2
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 2:As per Table 4.2-2 in TS 36.211 [4].",,,,,,,,,,,,
