Parameter,Unit,Value,,,,,
Reference channel,,R.11 FS3,R.12 FS3,R.13 FS3,R.14 FS3,R.15 FS3,R.16 FS3
Channel bandwidth,MHz,20,20,20,20,20,20
Allocated resource blocks,,100,100,100,100,100,100
Modulation,,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM
Coding Rate,,,,,,,
For Sub-Frame 0,,0.75,0.75,0.81,0.79,0.79,0.77
"For Sub-Frame 3,4,8",,0.85,0.85,0.85,0.78,0.78,0.78
"For Sub-Frame 1,2,6,7",,0.75,0.74,0.74,0.78,0.78,0.78
For Sub-Frame 5,,0.75,0.75,0.75,0.79,0.79,0.79
For Sub-Frame 9,,N/A,0.79,0.85,N/A,0.74,0.78
Information Bit Payload (Note 7),,,,,,,
For Sub-Frame 0,,84760,84760,43816,169544,169544,78704
"For Sub-Frame 3,4,8",Bits,97896,97896,97896,169544,169544,169544
"For Sub-Frame 1,2,6,7",Bits,84760,84760,84760,169544,169544,169544
For Sub-Frame 5,Bits,84760,84760,84760,169544,169544,169544
For Sub-Frame 9,Bits,N/A,75376,97896,N/A,133208,169544
Number of Code Blocks(Notes 3 and 6),,,,,,,
For Sub-Frame 0,,14,14,8,28,28,13
"For Sub-Frame 3,4,8",,16,16,16,28,28,28
"For Sub-Frame 1,2,6,7",,14,14,14,28,28,28
For Sub-Frame 5,,14,14,14,28,28,28
For Sub-Frame 9,,N/A,13,16,N/A,21,28
Binary Channel Bits (Note 7),,,,,,,
For Sub-Frame 0,,114048,114048,54400,215296,215296,102400
"For Sub-Frame 3,4,8",Bits,115200,115200,115200,217600,217600,217600
"For Sub-Frame 1,2,6,7",Bits,115200,115200,115200,217600,217600,217600
For Sub-Frame 5,Bits,114048,114048,114048,215296,215296,215296
For Sub-Frame 9,Bits,N/A,96000,115200,N/A,179200,217600
Number of layers,,2,2,2,4,4,4
Max. Throughput averaged over 1 frame (Note 7),Mbps,80.2248,87.7624,85.9200,152.5896,165.9104,160.4600
UE DL Categories,,≥ 11,≥ 11,≥ 11,≥ 11,≥ 11,≥ 11
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal and synchronization signals are allocated as per TS 36.211 [4]. PBCH and SIBs are not allocated in FS3 cell.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:For R.11 FS3 and R.14 FS3, burst consists of 9 full subframes. Between two consecutive bursts, there is one subframe gap.Note 5:For R.12 FS3 and R.15 FS3, burst consists of 9 full subframes and 1 ending partial subframe that has 12 OFDM symbols. Between two consecutive bursts, there is 2 OFDM symbol gap.Note 6:For R.13 FS3 and R.16 FS3, burst consists of 1 initial partial subframe and 9 full subframes. Between two consecutive bursts, there is 7 OFDM symbol gap.Note 7:Given per component carrier per codeword.",,,,,,,
