Parameter,Unit,Value,,,,,,,,
Reference channel,,R.72 TDD,R.72-1 TDD,R.72-2 TDD,R.72-3 TDD,R.73 TDD,R.73-1 TDD,R.74 TDD,R.85 TDD,R.93 TDD
Channel bandwidth,MHz,10,5,15,20,10,10,10,10(Note 7),10(Note 7)
Allocated resource blocks (Note 6),,50,25,75,100,50,50,50,24,24
Uplink-Downlink Configuration (Note 4),,1,1,1,1,1,1,1,1,1
Allocated subframes per Radio Frame (D+S),,2+2,2+2,2+2,2+2,2+2,2+2,2+2,3+2,3+2
Modulation,,256QAM,256QAM,256QAM,256QAM,64QAM,16QAM,16QAM,64QAM,64QAM
Target Coding Rate,,0.60,0.62,0.59,0.60,0.44,1/2,1/2,1/2,0.5
Information Bit Payload (Note 6),,,,,,,,,,
"For Sub-Frames 4,9",Bits,31704,15840,46888,63776,16416 (CW0)32856 (CW1),12960 (CW0)25456 (CW1),25456,10296,9528
"For Sub-Frames 1,6",Bits,23688,11448,35160,46888,12216 (CW0)24496 (CW1),9528 (CW0)19080 (CW1),19080,8248,7224
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10296,9528
Number of Code Blocks (Notes 5 and 6),,,,,,,,,,
"For Sub-Frames 4,9",,6,3,8,11,3 (CW0)6 (CW1),3 (CW0)5 (CW1),5,2,2
"For Sub-Frames 1,6",,4,2,6,8,2 (CW0)4 (CW1),2 (CW0)4 (CW1),4,2,2
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2
Binary Channel Bits (Note 6),,,,,,,,,,
"For Sub-Frames 4,9",Bits,51200,23200,76800,102400,38400 (CW0)76800 (CW1),25600 (CW0)51200 (CW1),51200,18432,18432
"For Sub-Frames 1,6",,41024,20224,61824,82624,30768 (CW0)61536 (CW1),21312 (CW0)42624 (CW1),41024,14976,14976
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18432,18432
Max. Throughput averaged over 1 frame (Note 6),Mbps,11.0784,5.4576,16.4096,22.1328,5.726 (CW0)11.470 (CW1),4.498 (CW0)8.907 (CW1),8.907,4.7384,4.303
UE Category,,≥ 11,≥ 11,≥ 11,≥ 11,≥ 5,≥ 5,≥ 5,1bis,1bis
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2: For BW=1.4 MHz, the information bit payloads of special subframes are set to zero (no scheduling) to avoid problems with insufficient PDCCH performance at the test point.Note 3:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 4:As per Table 4.2-2 in TS 36.211 [4].Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 6:Given per component carrier per codeword.Note 7: 24 resource blocks (RB 0-20 and 30-32) are allocated in sub-frames 0, 1, 2, 3, 4, 6, 7, 8, 9",,,,,,,,,,
