Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,Table A.3.2-1,,1.4,QPSK,1/3,6,,≥ 1,
FDD,Table A.3.2-1,,3,QPSK,1/3,15,,≥ 1,
FDD,Table A.3.2-1,,5,QPSK,1/3,25,,≥ 1,
FDD,Table A.3.2-1,,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.2-1,,15,QPSK,1/3,75,,≥ 1,
FDD,Table A.3.2-1,,20,QPSK,1/3,100,,≥ 1,
FDD / HD-FDD,Table A.3.2-1a,,1.4,QPSK,1/3,6,,-,UE DL Category 0
FDD / HD-FDD,Table A.3.2-1a,,3,QPSK,1/3,14,,-,UE DL Category 0
FDD / HD-FDD,Table A.3.2-1a,,5,QPSK,1/3,14,,-,UE DL Category 0
FDD / HD-FDD,Table A.3.2-1a,,10,QPSK,1/3,14,,-,UE DL Category 0
FDD / HD-FDD,Table A.3.2-1a,,15,QPSK,1/3,14,,-,UE DL Category 0
FDD / HD-FDD,Table A.3.2-1a,,20,QPSK,1/3,14,,-,UE DL Category 0
FDD / HD-FDD,Table A.3.2-1b,,1.4,QPSK,1/3,4,,M1,
FDD / HD-FDD,Table A.3.2-1b,,3,QPSK,1/3,4,,M1,
FDD / HD-FDD,Table A.3.2-1b,,5,QPSK,1/3,4,,M1,
FDD / HD-FDD,Table A.3.2-1b,,10,QPSK,1/3,4,,M1,
FDD / HD-FDD,Table A.3.2-1b,,15,QPSK,1/3,4,,M1,
FDD / HD-FDD,Table A.3.2-1b,,20,QPSK,1/3,4,,M1,
HD-FDD,Table A.3.2-1c,,0.2,QPSK,1/3,1,,NB1,
HD-FDD,Table A.3.2-1d,,0.2,QPSK,1/3,1,,NB1,
FDD / HD-FDD,Table A.3.2-1h,,1.4,QPSK,1/3,4,,M2,
FDD / HD-FDD,Table A.3.2-1h,,3,QPSK,1/3,8,,M2,
FDD / HD-FDD,Table A.3.2-1h,,5,QPSK,1/3,16,,M2,
FDD / HD-FDD,Table A.3.2-1h,,10,QPSK,1/3,16,,M2,
FDD / HD-FDD,Table A.3.2-1h,,15,QPSK,1/3,16,,M2,
FDD / HD-FDD,Table A.3.2-1h,,20,QPSK,1/3,16,,M2,
