Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,18,17,17,17
Subcarriers per resource block,,12,12,12,12,12,12
Allocated subframes per Radio Frame,,8,9,9,9,9,9
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4
Number of HARQ Processes,Processes,8,8,8,8,8,8
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,2984,8504,10296,10296,10296,10296
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,6456,8248,10296,10296,10296
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame(Note 3),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,1,2,2,2,2,2
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,N/A,2,2,2,2,2
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,4104,11340,13608,14076,14076,14076
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,8820,11088,14076,14076,14076
Max. Throughput averaged over 1 frame,kbps,2387.2,7448.8,9079.6,9266.4,9266.4,9266.4
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW. 3 symbols allocated to PDCCH for 5 MHz and 3 MHz. 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
