Parameter,Unit,Value,,,,,,
Reference channel,,R.4 TDD,R.42 TDD,R.2A TDD,R.2 TDD,R.42-1 TDD,R.42-2 TDD,R.42-3 TDD
Channel bandwidth,MHz,1.4,20,10,10,3,5,15
Allocated resource blocks (Note 6),,6,100,50,50,15,25,75
Uplink-Downlink Configuration (Note 4),,1,1,2,1,1,1,1
Allocated subframes per Radio Frame (D+S),,3,3+2,5+2,3+2,3+2,3+2,3+2
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Information Bit Payload (Note 6),,,,,,,,
"For Sub-Frames 4,9",Bits,408,8760,4392,4392,1320,2216,6712
"For Sub-Frames 1,6",Bits,N/A,7736,3240,3240,1128,1864,5992
"For Sub-Frames 3,8",Bits,N/A,N/A,4392,N/A,N/A,N/A,N/A
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,208,8760,4392,4392,1064,1800,6712
Number of Code Blocks(Notes 5 and 6),,,,,,,,
"For Sub-Frames 4,9",,1,2,1,1,1,1,2
"For Sub-Frames 1,6",,N/A,2,1,1,1,1,1
"For Sub-Frames 3,8",,N/A,N/A,1,N/A,N/A,N/A,N/A
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,2,1,1,1,1,2
Binary Channel Bits (Note 6),,,,,,,,
"For Sub-Frames 4,9",Bits,1368,27600,13800,13800,3780,6300,20700
"For Sub-Frames 1,6",Bits,N/A,22656,11256,11256,3276,5556,16956
"For Sub-Frames 3,8",,N/A,N/A,13800,N/A,N/A,N/A,N/A
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,672,26904,13104,13104,3084,5604,20004
Max. Throughput averaged over 1 frame (Note 6),Mbps,0.102,4.175,2.844,1.966,0.596,0.996,3.212
UE Category,,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:For BW=1.4 MHz, the information bit payloads of special subframes are set to zero (no scheduling) to avoid problems with insufficient PDCCH performance at the test point.Note 3:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 4:As per Table 4.2-2 in TS 36.211 [4].Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 6:Given per component carrier per codeword.",,,,,,,,
