Parameter,Unit,Value,Value
Channel bandwidth,MHz,10,20
Allocated resource blocks,,50,100
Uplink-Downlink Configuration,,N/A,N/A
Subcarriers per resource block,,12,12
Allocated subframes per Radio Frame (D),,8,8
Modulation,,QPSK,QPSK
Target Coding Rate,,1/3,1/3
Number of HARQ Processes,Processes,N/A,N/A
Maximum number of HARQ transmissions,,N/A,N/A
Information Bit Payload per Sub-Frame,,,
"For Sub-Frames 3,4,6,7,8,9",Bits,4392,8760
"For Sub-Frame 1,2",Bits,N/A,N/A
"For Sub-Frame 0,5",Bits,4392,8760
Transport block CRC,Bits,24,24
Number of Code Blocks per Sub-Frame(Note 3),,,
"For Sub-Frames 3,4,6,7,8,9",Bits,1,2
"For Sub-Frame 1,2",Bits,N/A,N/A
"For Sub-Frame 0,5",Bits,1,2
Binary Channel Bits Per Sub-Frame,,,
"For Sub-Frames 3,4,6,7,8,9",Bits,13800,27600
"For Sub-Frame 1,2",Bits,N/A,N/A
"For Sub-Frame 0,5",Bits,13512,27312
Max. Throughput averaged over 1 frame,kbps,3513.6,7008
UE Category,,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal and Synchronization signals allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,
