Parameter,Unit,Value,,,,,,,
Reference channel,,R.44 TDD,R.48 TDD,R.66 TDD,R.75 TDD,R.75ATDD,R.cc TDD,R.61A TDD,R.102 TDD
Channel bandwidth,MHz,10,10,20,10,10,10,10,10
Allocated resource blocks,,50 (Note 4),50 (Note 4),100,50 (Note 4),50(Note 4),50 (Note 4),50  (Note 4),50 (Note 4)
Uplink-Downlink Configuration (Note 3),,1,1,1,,,1,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2,3+2,3+2,3+2,3+2,3+2,3+2
Modulation,,64QAM,QPSK,256QAM,16QAM,16QAM,16QAM,16QAM,1024QAM
Target Coding Rate,,½,,,0.57,0.51,,1/2,3/4
Information Bit Payload,,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,18336,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9 (CSI-RS subframe)",Bits,16416,6200,71112,25456,25456,15264,11448,52752
"For Sub-Frames 1,6",,11832,4264,48936,16992,16992,9144,7736,31704
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,14688,4968,66592,21384,21384,12576,9528,43816
Number of Code Blocks per Sub-Frame(Note 5),,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",,3,2,N/A,N/A,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9 (CSI-RS subframe)",,3,2,12,5,5,3,2,9
"For Sub-Frames 1,6",,2,1,8,3,3,2,2,6
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,3,1,11,4,4,3,2,7
Binary Channel Bits Per Sub-Frame,,,,,,,,,
"For Sub-Frames 4,9 (non CSI-RS subframe)",Bits,36000,12000,N/A,N/A,N/A,N/A,N/A,N/A
"For Sub-Frames 4,9 (CSI-RS subframe)",Bits,33600,11600,89600,40000,44800,22400,22400,64000
"For Sub-Frames 1,6",,23616,7872,67584,27552,32352,15744,15744,44280
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,29520,9840,84480,35424,40224,19680,19680,54120
Max. Throughput averaged over 1 frame,Mbps,7.1184,2.5896,30.669,10.628,10.628,6.1392,6.1392,21.2728
UE Category,,≥ 2,≥ 1,11-12,≥ 5,≥ 5,≥ 2,≥ 2,TBD
UE DL Category,,≥ 6,≥ 6,≥ 11,≥ 6,≥ 6,≥ 6,≥ 6,"20, ≥ 22"
"Note 1: 2 symbols allocated to PDCCH. 1 symbol allocated to PDCCH for reference channel with 1024QAM.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:as per Table 4.2-2 in TS 36.211 [4].Note 4: For R.44,R.48, R.75 and R.cc, 50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6. For R.66, 100 resource blocks are allocated in sub-frames 4, 9 and 88 resources blockes (RB0–RB43 and RB56–RB99) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 5: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,,,
