Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,,48,,96
Subcarriers per resource block,,,,,12,,12
Packets per period,,,,,1,,1
Modulation,,,,,64QAM,,64QAM
Target Coding Rate,,,,,3/4,,3/4
Transport Block Size,,,,,22920,,46888
Transport block CRC,Bits,,,,24,,24
Number of Code Blocks per Sub-Frame,,,,,4,,8
Maximum number of HARQ transmissions,,,,,1,,1
Binary Channel Bits per subframe,Bits,,,,31104,,62208
Max. Throughput averaged over 1 period of 100ms,kbps,,,,229.2,,468.88
"Note 1:2RBs allocated to SA transmission, 4 symbols allocated to RS and the last symbol within a subframe is not considered in the mapping processNote 2:Throughput (in kbps) will depend on SA period configuration.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
