Table,Name,BW,Mod,TCR,RB,UE Categ,Notes
Table A.8.2-1,-,10,QPSK,1/3,48,SL-C Category 2SL-C-RX Category ≥ 2,
Table A.8.2-1,-,20,QPSK,1/3,96,SL-C Category 2SL-C-RX Category ≥ 2,
Table A.8.2-2,-,10,16QAM,2/3,48,SL-C Category 2SL-C-RX Category ≥ 2,
Table A.8.2-2,-,20,16QAM,2/3,96,SL-C Category 2SL-C-RX Category ≥ 2,
Table A.8.2-4,-,10,64QAM,3/4,48,SL-C-RX Category ≥ 3,
Table A.8.2-4,-,20,64QAM,3/4,96,SL-C-RX Category ≥ 3,
Table A.8.3-1,,10/20,QPSK,1/3,-,SL-C Category 2SL-C-TX Category ≥ 2,
Table A.8.3-2,,10/20,16QAM,2/3,-,SL-C Category 2SL-C-TX Category ≥ 2,
Table A.8.3-3,,10/20,64QAM,3/4,-,SL-C-TX Category ≥ 3,
Table A.8.4-1,CC.8,10/20,QPSK,-,2,-,
Table A.8.5-1,CD.8,20,16QAM,-,8,-,
Table A.8.5-1,CD.9,10,QPSK,-,3,-,
Table A.8.5-1,CD.10,20,QPSK,-,3,-,
Table A.8.5-1,CD.11,20,16QAM,-,96,-,
Table A.8.5-1,CD.12,20,QPSK,-,8,-,
Table A.8.5-2,CD.13,20,64QAM,-,8,-,
Table A.8.5-2,CD.14,10,QPSK,-,3,-,
Table A.8.5-2,CD.15,20,64QAM,-,96,-,
Table A.8.5-2,CD.16,10,64QAM,-,48,-,
Table A.8.5-2,CD.17,20,QPSK,-,8,-,
Table A.8.5-2,CD.18,10,QPSK,-,8,-,
Table A.8.5-2,CD.19,20,QPSK,-,3,-,
Table A.8.5-2,CD.20,10,QPSK,-,3,-,
Table A.8.6-1,CP.2,20,QPSK,-,6,-,
