Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
Single antenna port,,,,,,,,,
TDD,Table A.3.4.3.1-1,R.25 TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.4.3.1-1,R.26 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.3.1-1,R.26-1 TDD,5,16QAM,1/2,25,,≥ 1,
TDD,Table A.3.4.3.1-1,R.27 TDD,10,64QAM,3/4,50,,≥ 2,
TDD,Table A.3.4.3.1-1,R.27-1 TDD,10,64QAM,3/4,18,,≥ 1,
TDD,Table A.3.4.3.1-1,R.28 TDD,10,16QAM,1/2,1,,≥ 1,
TDD,Table A.3.4.3.1-2,R.80 TDD,10,QPSK,1/10,6,,"M1, ≥ 0",
Two antenna ports,,,,,,,,,
TDD,Table A.3.4.3.2-1,R.31 TDD,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.4.3.2-1,R.32 TDD,10,16QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.3.2-1,R.32-1 TDD,5,16QAM,1/2,[25],,≥ 1,
TDD,Table A.3.4.3.2-1,R.33 TDD,10,64QAM,3/4,50,,≥ 2,
TDD,Table A.3.4.3.2-1,R.33-1 TDD,10,64QAM,3/4,[18],,≥ 1,
TDD,Table A.3.4.3.2-1,R.34 TDD,10,64QAM,1/2,50,,≥ 2,
TDD,Table A.3.4.3.2,R.70 TDD,10,QPSK,0.54-0.65,50,,≥ 1,
TDD,Table A.3.4.3.2,R.71 TDD,10,16QAM,0.5-0.6,50,,≥ 2,
TDD,Table A.3.4.3.2-1,R.86 TDD,10,QPSK,1/3,50,,≥ 1,
