Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,,,,,,,,,
FDD,Table A.3.9.1-1,R.31-1 FDD,10,64QAM,0.40,,,≥ 1,
FDD,Table A.3.9.1-2,R.31-1A FDD,20,64QAM,0.41,,,≥ 1,
FDD,Table A.3.9.1-1,R.31-2 FDD,10,64QAM,0.59-0.64,,,≥ 2,
FDD,Table A.3.9.1-1,R.31-3 FDD,20,64QAM,0.59-0.62,,,≥ 2,
FDD,Table A.3.9.1-1,R.31-3A FDD,10,64QAM,0.85-0.90,,,≥ 2,
FDD,Table A.3.9.1-1,R.31-3C FDD,15,64QAM,0.87-0.91,,,≥ 3,
FDD,Table A.3.9.1-1,R.31-4 FDD,20,64QAM,0.87-0.90,,,≥ 3,
FDD,Table A.3.9.1-1,R.31-4B FDD,15,64QAM,0.85-0.88,,,≥ 4,
FDD,Table A.3.9.1-1,R.31-5 FDD,15,64QAM,0.85-0.91,,,≥ 3,
FDD,Table A.3.9.1-2,R.31-6 FDD,5,64QAM,0.83-0.85,,,≥ 2,
FDD,Table A.3.9.1-2,R.31-7 FDD,10,64QAM,0.78-0.83,,,≥ 6,
FDD,Table A.3.9.1-2,R.31-8 FDD,15,64QAM,0.77-0.80,,,≥ 6,
FDD,Table A.3.9.1-2,R.31-9 FDD,20,64QAM,0.79-0.81,,,≥ 6,
FDD,Table A.3.9.1-2,R.31-10 FDD,5,64QAM,0.78-0.85,,,≥ 6,
FDD,Table A.3.9.1-3,R.68 FDD,20,256QAM,0.74-0.85,,,11-12,
FDD,Table A.3.9.1-3,R.68-1 FDD,15,256QAM,0.74-0.88,,,11-12,
FDD,Table A.3.9.1-3,R.68-2 FDD,10,256QAM,0.74-0.85,,,11-12,
FDD,Table A.3.9.1-3,R.68-3 FDD,5,256QAM,0.77-0.85,,,11-12,
FDD,Table A.3.9.1-3,R.68-4 FDD,10,256QAM,0.78-0.83,,,11-12,
FDD,Table A.3.9.1-3,R.68-5 FDD,15,256QAM,0.79-0.82,,,11-12,
FDD,Table A.3.9.1-3,R.68-6 FDD,20,256QAM,0.78-0.80,,,11-12,
FDD,Table A.3.9.1-3,R.68-7 FDD,5,256QAM,0.77-0.85,,,11-12,
TDD,,,,,,,,,
TDD,Table A.3.9.2-1,R.31-1 TDD,10,64QAM,0.40,,,≥ 1,
TDD,Table A.3.9.2-1,R.31-1A TDD,20,64QAM,0.41,,,≥ 1,
TDD,Table A.3.9.2-1,R.31-2 TDD,10,64QAM,0.59-0.64,,,≥ 2,
TDD,Table A.3.9.2-1,R.31-3 TDD,20,64QAM,0.59-0.62,,,≥ 2,
TDD,Table A.3.9.2-1,R.31-3A TDD,15,64QAM,0.87-0.90,,,≥ 2,
TDD,Table A.3.9.2-1,R.31-4 TDD,20,64QAM,0.87-0.90,,,≥ 3,
