Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,14,14,14,14,14
Subcarriers per resource block,,12,12,12,12,12,12
Allocated subframes per Radio Frame,,9,9,9,9,9,9
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3
Number of HARQ Processes,Processes,8,8,8,8,8,8
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,408,1000,1000,1000,1000,1000
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0 (Note 3),Bits,152,840,840,904,904,904
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1,1,1,1,1,1
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,1,1,1,1,1,1
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1368,3528,3528,3864,3864,3864
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0 (Note 3),Bits,528,2688,2688,3024,3024,3024
Max. Throughput averaged over 1 frame,kbps,341.6,884,884,890.4,890.4,890.4
UE DL Category,,0,0,0,0,0,0
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10MHz channel BW. 3 symbols allocated to PDCCH for 5 MHz and 3 MHz. 4 symbols allocated to PDCCH for 1.4 MHzNote 2:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211.Note 3:For Sub-Frame 0, it is assumed the 6PRBs are allocated in the centre of the channel where some REs of the same PRBs are occupied by PBCH and synchronization signals.Note 4:For HD-FDD UE, the downlink subframes are scheduled at the 0th, 1st, 2nd, 8th, 9th, 10th, 16th, 17th, 18th, 24th, 25th, 26th, 32nd, 33rd, 34th subframes every 40ms. Information bit payload is available if downlink subframe is scheduled.",,,,,,,
