Parameter,Unit,Value,,,,,,,
Reference channel,,R.105 FDD,R.105-1 FDD,R.105-2 FDD,R.105-3 FDD,R.105-4 FDD,R.105-5 FDD,R.105-6 FDD,R.105-7 FDD
Channel bandwidth,MHz,20,15,10,5,20,15,10,5
Allocated resource blocks (Note 4),,Note 5,Note 6,Note 7,Note 8,Note 7,Note 6,Note 5,Note 8
Allocated subframes per Radio Frame,,10,10,10,10,10,10,10,10
Modulation,,1024QAM,1024QAM,1024QAM,1024QA M,1024QA M,1024QA M,1024QA M,1024QAM
Coding Rate,,,,,,,,,
"For Sub-Frames 3,4,8,9",,0.76,0.75,0.73,0.76,0.81,0.79,0.81,0.78
"For Sub-Frames 1,2,6,7",,0.76,0.75,0.73,0.76,0.81,0.79,0.81,0.78
For Sub-Frame 5,,0.77,0.78,0.77,0.80,0.82,0.83,0.81,0.82
For Sub-Frame 0,,0.79,0.78,0.78,0.86,0.83,0.82,0.86,0.87
Information Bit Payload (Note 4),,,,,,,,,
"For Sub-Frames 3,4,8,9",Bits,110136,81176,52752,27376,220296,161760,110136,52752
"For Sub-Frames 1,2,6,7",,110136,81176,52752,27376,220296,161760,110136,52752
For Sub-Frame 5,Bits,105528,78704,51024,25456,211936,157432,101840,48936
For Sub-Frame 0,Bits,110136,81176,52752,27376,220296,161760,110136,52752
"Number of Code Blocks (Notes 3,and 4)",,,,,,,,,
"For Sub-Frames 3,4,8,9",Bits,18,14,9,5,36,27,18,9
"For Sub-Frames 1,2,6,7",,18,14,9,5,36,27,18,9
For Sub-Frame 5,Bits,18,13,9,5,35,26,17,8
For Sub-Frame 0,Bits,18,14,9,5,36,27,18,9
Binary Channel Bits (Note 4),,,,,,,,,
"For Sub-Frames 3,4,8,9",Bits,144000,108000,72000,36000,272000,204000,136000,68000
"For Sub-Frames 1,2,6,7",,144000,108000,72000,36000,272000,204000,136000,68000
For Sub-Frame 5,Bits,136800,100800,66240,31680,258240,190240,124960,59680
For Sub-Frame 0,Bits,139920,103920,67920,31920,264320,196320,128320,60320
Number of layers,,2,2,2,2,4,4,4,4
Max. Throughput averaged over 1 frame (Note 4),Mbps,109.68,80.93,52.58,27.18,219.46,161.33,109.31,52.37
UE DL Categories,,"20, ≥22","20, ≥22","20, ≥22","20, ≥22","20, ≥22","20, ≥22","20, ≥22","20, ≥22"
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4: Given per component carrier per codeword.Note 5:Resource blocks nPRB = 4..99 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..99 in sub-frames 0,1,2,3,4,6,7,8,9.Note 6:Resource blocks nPRB = 4..74 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..74 in sub-frames 0,1,2,3,4,6,7,8,9.Note 7:Resource blocks nPRB = 3..49 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..49 in sub-frames 0,1,2,3,4,6,7,8,9.Note 8:Resource blocks nPRB = 2..24 are allocated for the user data in sub-frame 5, and resource blocks nPRB = 0..24 in sub-frames 0,1,2,3,4,6,7,8,9.",,,,,,,,,
