Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
TDD,Table A.3.2-2,,1.4,QPSK,1/3,6,,≥ 1,
TDD,Table A.3.2-2,,3,QPSK,1/3,15,,≥ 1,
TDD,Table A.3.2-2,,5,QPSK,1/3,25,,≥ 1,
TDD,Table A.3.2-2,,10,QPSK,1/3,50,,≥ 1,
TDD,Table A.3.2-2,,15,QPSK,1/3,75,,≥ 1,
TDD,Table A.3.2-2,,20,QPSK,1/3,100,,≥ 1,
TDD,Table A.3.2-2a,,1.4,QPSK,1/3,6,,-,UE DL Category 0
TDD,Table A.3.2-2a,,3,QPSK,1/3,14,,-,UE DL Category 0
TDD,Table A.3.2-2a,,5,QPSK,1/3,14,,-,UE DL Category 0
TDD,Table A.3.2-2a,,10,QPSK,1/3,14,,-,UE DL Category 0
TDD,Table A.3.2-2a,,15,QPSK,1/3,14,,-,UE DL Category 0
-,Table A.3.2-2a,,20,QPSK,1/3,14,,-,UE DL Category 0
TDD Band 46,Table A.3.2-2c,,10,QPSK,1/3,50,,≥ 1,
TDD Band 46,Table A.3.2-2c,,20,QPSK,1/3,100,,≥ 1,
TDD,Table A.3.2-2b,,1.4,QPSK,1/3,4,,M1,
TDD,Table A.3.2-2b,,3,QPSK,1/3,4,,M1,
TDD,Table A.3.2-2b,,5,QPSK,1/3,4,,M1,
TDD,Table A.3.2-2b,,10,QPSK,1/3,4,,M1,
TDD,Table A.3.2-2b,,15,QPSK,1/3,4,,M1,
TDD,Table A.3.2-2b,,20,QPSK,1/3,4,,M1,
TDD,Table A.3.2-2d,,1.4,QPSK,1/3,4,,M2,
TDD,Table A.3.2-2d,,3,QPSK,1/3,8,,M2,
TDD,Table A.3.2-2d,,5,QPSK,1/3,16,,M2,
TDD,Table A.3.2-2d,,10,QPSK,1/3,16,,M2,
TDD,Table A.3.2-2d,,15,QPSK,1/3,16,,M2,
TDD,Table A.3.2-2d,,20,QPSK,1/3,16,,M2,
