Parameter,Unit,Value,,,,,
Reference channel,,,,,R.41 TDD,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,,50,,
Uplink-Downlink Configuration (Note 4),,,,,1,,
Allocated subframes per Radio Frame (D+S),,,,,3+2,,
Modulation,,,,,QPSK,,
Target Coding Rate,,,,,1/10,,
Information Bit Payload,,,,,,,
"For Sub-Frames 4,9",Bits,,,,1384,,
"For Sub-Frames 1,6",Bits,,,,1032,,
For Sub-Frame 5,Bits,,,,N/A,,
For Sub-Frame 0,Bits,,,,1384,,
Number of Code Blocks per Sub-Frame(Note 5),,,,,,,
"For Sub-Frames 4,9",,,,,1,,
"For Sub-Frames 1,6",,,,,1,,
For Sub-Frame 5,,,,,N/A,,
For Sub-Frame 0,,,,,1,,
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,,,,13800,,
"For Sub-Frames 1,6",Bits,,,,11256,,
For Sub-Frame 5,Bits,,,,N/A,,
For Sub-Frame 0,Bits,,,,13104,,
Max. Throughput averaged over 1 frame,Mbps,,,,0.622,,
UE Category,,,,,≥ 1,,
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:For BW=1.4 MHz, the information bit payloads of special subframes are set to zero (no scheduling) to avoid problems with insufficient PDCCH performance at the test point.Note 3:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 4:As per Table 4.2-2 in TS 36.211 [4].Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
