Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,2,2,2,2,2,2
Subcarriers per resource block,,12,12,12,12,12,12
Uplink-Downlink Configuration (Note 5),,1,1,1,1,1,1
Allocated subframes per Radio Frame,,2,3+2,3+2,3+2,3+2,3+2
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4
Number of HARQ Processes,Processes,7,7,7,7,7,7
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,1000,1000,1000,1000,1000,1000
"For Sub-Frames 1,6",Bits,N/A,712,712,712,712,712
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,1000,1000,1000,1000,1000
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
"For Sub-Frames 4,9",,1,1,1,1,1,1
"For Sub-Frames 1,6",,N/A,1,1,1,1,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,N/A,1,1,1,1,1
Binary Channel Bits per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,1368,1512,1512,1656,1656,1656
"For Sub-Frames 1,6",,N/A,1224,1224,1368,1368,1368
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,N/A,1512,1512,1656,1656,1656
Max. Throughput averaged over 1 frame,kbps,200,442.4,442.4,442.4,442.4,442.4
"Note 1:For normal subframes(0,4,5,9), 2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For special subframe (1&6), only 2 OFDM symbols are allocated to PDCCH for all BWs.Note 2:For 1.4MHz, no data shall be scheduled on special subframes(1&6) to avoid problems with insufficient PDCCH performance.Note 3:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:As per Table 4.2-2 in TS 36.211 [4].",,,,,,,
