Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,5,5,5,5,5,5
Uplink-Downlink Configuration (Note 2),,1,1,1,1,1,1
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Target Coding rate,,1/3,1/3,1/3,1/3,1/3,1/3
Payload size,,,,,,,
"For Sub-Frame 2,3,7,8",Bits,872,872,872,872,872,872
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame (Note 1),,,,,,,
"For Sub-Frame 2,3,7,8",,1,1,1,1,1,1
Total number of bits per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,7,8",Bits,2880,2880,2880,2880,2880,2880
Total symbols per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,7,8",,720,720,720,720,720,720
UE Category,,M1,M1,M1,M1,M1,M1
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 2:As per Table 4.2-2 in TS 36.211[4]",,,,,,,
